area,department,month,total_spent,complaints_handled,avg_cost
Viman Nagar,Traffic Police,2024-03,154456,86,1796
Viman Nagar,Traffic Police,2024-04,26460,9,2940
Viman Nagar,Traffic Police,2024-05,21264,8,2658
Viman Nagar,Traffic Police,2024-06,106848,56,1908
Viman Nagar,Traffic Police,2024-07,61568,26,2368
Viman Nagar,Traffic Police,2024-08,114798,57,2014
Viman Nagar,Traffic Police,2024-09,33489,61,549
Viman Nagar,Traffic Police,2024-10,142464,56,2544
Viman Nagar,Traffic Police,2024-11,11760,7,1680
Viman Nagar,Traffic Police,2024-12,11934,17,702
Viman Nagar,Noise Regulation Department,2024-01,190624,92,2072
Viman Nagar,Noise Regulation Department,2024-02,51678,58,891
Viman Nagar,Noise Regulation Department,2024-03,60525,45,1345
Viman Nagar,Noise Regulation Department,2024-04,12034,11,1094
Viman Nagar,Noise Regulation Department,2024-05,136582,94,1453
Viman Nagar,Noise Regulation Department,2024-06,103569,69,1501
Viman Nagar,Noise Regulation Department,2024-07,198216,72,2753
Viman Nagar,Noise Regulation Department,2024-08,253330,98,2585
Viman Nagar,Noise Regulation Department,2024-09,118340,61,1940
Viman Nagar,Noise Regulation Department,2024-10,61670,70,881
Viman Nagar,Noise Regulation Department,2024-11,11040,15,736
Viman Nagar,Noise Regulation Department,2024-12,31122,14,2223
Viman Nagar,Tree Plantation Authority,2024-01,113760,48,2370
Viman Nagar,Tree Plantation Authority,2024-02,227104,94,2416
Viman Nagar,Tree Plantation Authority,2024-03,101084,74,1366
Viman Nagar,Tree Plantation Authority,2024-04,76160,70,1088
Viman Nagar,Tree Plantation Authority,2024-05,81437,37,2201
Viman Nagar,Tree Plantation Authority,2024-06,136290,70,1947
Viman Nagar,Tree Plantation Authority,2024-07,36722,14,2623
Viman Nagar,Tree Plantation Authority,2024-08,63000,50,1260
Viman Nagar,Tree Plantation Authority,2024-09,20072,8,2509
Viman Nagar,Tree Plantation Authority,2024-10,119508,46,2598
Viman Nagar,Tree Plantation Authority,2024-11,240768,99,2432
Viman Nagar,Tree Plantation Authority,2024-12,50860,20,2543
Viman Nagar,Animal Control,2024-01,125409,51,2459
Viman Nagar,Animal Control,2024-02,128691,79,1629
Viman Nagar,Animal Control,2024-03,37720,46,820
Viman Nagar,Animal Control,2024-04,57278,26,2203
Viman Nagar,Animal Control,2024-05,27125,35,775
Viman Nagar,Animal Control,2024-06,68685,95,723
Viman Nagar,Animal Control,2024-07,71995,55,1309
Viman Nagar,Animal Control,2024-08,61272,74,828
Viman Nagar,Animal Control,2024-09,89866,98,917
Viman Nagar,Animal Control,2024-10,72000,72,1000
Viman Nagar,Animal Control,2024-11,190086,78,2437
Viman Nagar,Animal Control,2024-12,131054,74,1771
Viman Nagar,Construction Regulation Department,2024-01,203229,81,2509
Viman Nagar,Construction Regulation Department,2024-02,41944,56,749
Viman Nagar,Construction Regulation Department,2024-03,122353,49,2497
Viman Nagar,Construction Regulation Department,2024-04,46102,89,518
Viman Nagar,Construction Regulation Department,2024-05,107994,41,2634
Viman Nagar,Construction Regulation Department,2024-06,117428,62,1894
Viman Nagar,Construction Regulation Department,2024-07,51171,37,1383
Viman Nagar,Construction Regulation Department,2024-08,50976,59,864
Viman Nagar,Construction Regulation Department,2024-09,110659,41,2699
Viman Nagar,Construction Regulation Department,2024-10,69250,50,1385
Viman Nagar,Construction Regulation Department,2024-11,41424,24,1726
Viman Nagar,Construction Regulation Department,2024-12,268956,93,2892
Bibwewadi,Sanitation Department,2024-01,67060,35,1916
Bibwewadi,Sanitation Department,2024-02,26712,28,954
Bibwewadi,Sanitation Department,2024-03,53523,57,939
Bibwewadi,Sanitation Department,2024-04,31680,12,2640
Bibwewadi,Sanitation Department,2024-05,140058,62,2259
Bibwewadi,Sanitation Department,2024-06,22320,16,1395
Bibwewadi,Sanitation Department,2024-07,174785,65,2689
Bibwewadi,Sanitation Department,2024-08,147560,62,2380
Bibwewadi,Sanitation Department,2024-09,142664,68,2098
Bibwewadi,Sanitation Department,2024-10,123082,82,1501
Bibwewadi,Sanitation Department,2024-11,59136,33,1792
Bibwewadi,Sanitation Department,2024-12,54464,92,592
Bibwewadi,Water Supply Department,2024-01,26616,12,2218
Bibwewadi,Water Supply Department,2024-02,19992,12,1666
Bibwewadi,Water Supply Department,2024-03,62560,80,782
Bibwewadi,Water Supply Department,2024-04,146998,67,2194
Bibwewadi,Water Supply Department,2024-05,56468,76,743
Bibwewadi,Water Supply Department,2024-06,107464,76,1414
Bibwewadi,Water Supply Department,2024-07,130662,63,2074
Bibwewadi,Water Supply Department,2024-08,55440,99,560
Bibwewadi,Water Supply Department,2024-09,45344,52,872
Bibwewadi,Water Supply Department,2024-10,147972,57,2596
Bibwewadi,Water Supply Department,2024-11,146175,75,1949
Bibwewadi,Water Supply Department,2024-12,75121,43,1747
Bibwewadi,Electricity Board,2024-01,85432,59,1448
Bibwewadi,Electricity Board,2024-02,25520,22,1160
Bibwewadi,Electricity Board,2024-03,17174,31,554
Bibwewadi,Electricity Board,2024-04,88000,100,880
Bibwewadi,Electricity Board,2024-05,179860,92,1955
Bibwewadi,Electricity Board,2024-06,106740,60,1779
Bibwewadi,Electricity Board,2024-07,168560,70,2408
Bibwewadi,Electricity Board,2024-08,268677,93,2889
Bibwewadi,Electricity Board,2024-09,91140,93,980
Bibwewadi,Electricity Board,2024-10,8294,13,638
Bibwewadi,Electricity Board,2024-11,40014,57,702
Bibwewadi,Electricity Board,2024-12,54162,51,1062
Bibwewadi,Road Maintenance Department,2024-01,207405,99,2095
Bibwewadi,Road Maintenance Department,2024-02,206476,82,2518
Bibwewadi,Road Maintenance Department,2024-03,46110,29,1590
Bibwewadi,Road Maintenance Department,2024-04,203949,93,2193
Bibwewadi,Road Maintenance Department,2024-05,116130,42,2765
Bibwewadi,Road Maintenance Department,2024-06,92016,36,2556
Bibwewadi,Road Maintenance Department,2024-07,113694,42,2707
Bibwewadi,Road Maintenance Department,2024-08,175168,92,1904
Bibwewadi,Road Maintenance Department,2024-09,68352,24,2848
Bibwewadi,Road Maintenance Department,2024-10,153468,87,1764
Bibwewadi,Road Maintenance Department,2024-11,73060,65,1124
Bibwewadi,Road Maintenance Department,2024-12,108034,38,2843
Bibwewadi,Environmental Control,2024-01,101736,36,2826
Bibwewadi,Environmental Control,2024-02,81082,71,1142
Bibwewadi,Environmental Control,2024-03,94255,35,2693
Bibwewadi,Environmental Control,2024-04,8575,7,1225
Bibwewadi,Environmental Control,2024-05,61544,98,628
Bibwewadi,Environmental Control,2024-06,58800,49,1200
Bibwewadi,Environmental Control,2024-07,51498,18,2861
Bibwewadi,Environmental Control,2024-08,86317,59,1463
Bibwewadi,Environmental Control,2024-09,49946,26,1921
Bibwewadi,Environmental Control,2024-10,17550,30,585
Bibwewadi,Environmental Control,2024-11,233050,79,2950
Bibwewadi,Environmental Control,2024-12,211935,71,2985
Bibwewadi,Traffic Police,2024-01,165726,99,1674
Bibwewadi,Traffic Police,2024-02,26936,26,1036
Bibwewadi,Traffic Police,2024-03,12573,11,1143
Bibwewadi,Traffic Police,2024-04,33865,13,2605
Bibwewadi,Traffic Police,2024-05,194694,74,2631
Bibwewadi,Traffic Police,2024-06,101946,78,1307
Bibwewadi,Traffic Police,2024-07,81804,68,1203
Bibwewadi,Traffic Police,2024-08,219355,95,2309
Bibwewadi,Traffic Police,2024-09,141267,93,1519
Bibwewadi,Traffic Police,2024-10,156222,99,1578
Bibwewadi,Traffic Police,2024-11,171633,77,2229
Bibwewadi,Traffic Police,2024-12,100358,38,2641
Bibwewadi,Noise Regulation Department,2024-01,26496,24,1104
Bibwewadi,Noise Regulation Department,2024-02,114896,86,1336
Bibwewadi,Noise Regulation Department,2024-03,22878,18,1271
Bibwewadi,Noise Regulation Department,2024-04,189810,90,2109
Bibwewadi,Noise Regulation Department,2024-05,123133,59,2087
Bibwewadi,Noise Regulation Department,2024-06,211876,98,2162
Bibwewadi,Noise Regulation Department,2024-07,28528,16,1783
Bibwewadi,Noise Regulation Department,2024-08,97440,56,1740
Bibwewadi,Noise Regulation Department,2024-09,186628,74,2522
Bibwewadi,Noise Regulation Department,2024-10,255456,96,2661
Bibwewadi,Noise Regulation Department,2024-11,148491,63,2357
Bibwewadi,Noise Regulation Department,2024-12,86016,64,1344
Bibwewadi,Tree Plantation Authority,2024-01,229728,96,2393
Bibwewadi,Tree Plantation Authority,2024-02,51039,53,963
Bibwewadi,Tree Plantation Authority,2024-03,37158,22,1689
Bibwewadi,Tree Plantation Authority,2024-04,167940,60,2799
Bibwewadi,Tree Plantation Authority,2024-05,26988,39,692
Bibwewadi,Tree Plantation Authority,2024-06,187055,95,1969
Bibwewadi,Tree Plantation Authority,2024-07,90890,61,1490
Bibwewadi,Tree Plantation Authority,2024-08,170482,83,2054
Bibwewadi,Tree Plantation Authority,2024-09,231978,82,2829
Bibwewadi,Tree Plantation Authority,2024-10,118370,95,1246
Bibwewadi,Tree Plantation Authority,2024-11,32112,18,1784
Bibwewadi,Tree Plantation Authority,2024-12,145035,55,2637
Bibwewadi,Animal Control,2024-01,66378,78,851
Bibwewadi,Animal Control,2024-02,62192,52,1196
Bibwewadi,Animal Control,2024-03,132246,79,1674
Bibwewadi,Animal Control,2024-04,83025,81,1025
Bibwewadi,Animal Control,2024-05,68780,38,1810
Bibwewadi,Animal Control,2024-06,78837,33,2389
Bibwewadi,Animal Control,2024-07,141732,93,1524
Bibwewadi,Animal Control,2024-08,32890,55,598
Bibwewadi,Animal Control,2024-09,136412,67,2036
Bibwewadi,Animal Control,2024-10,50235,51,985
Bibwewadi,Animal Control,2024-11,170610,66,2585
Bibwewadi,Animal Control,2024-12,94505,41,2305
Bibwewadi,Construction Regulation Department,2024-01,9204,13,708
Bibwewadi,Construction Regulation Department,2024-02,72072,44,1638
Bibwewadi,Construction Regulation Department,2024-03,80772,53,1524
Bibwewadi,Construction Regulation Department,2024-04,57876,42,1378
Bibwewadi,Construction Regulation Department,2024-05,217394,73,2978
Bibwewadi,Construction Regulation Department,2024-06,68948,44,1567
Bibwewadi,Construction Regulation Department,2024-07,22120,20,1106
Bibwewadi,Construction Regulation Department,2024-08,91221,39,2339
Bibwewadi,Construction Regulation Department,2024-09,17985,15,1199
Bibwewadi,Construction Regulation Department,2024-10,89043,67,1329
Bibwewadi,Construction Regulation Department,2024-11,61775,25,2471
Bibwewadi,Construction Regulation Department,2024-12,191586,74,2589
Shivajinagar,Sanitation Department,2024-01,189824,64,2966
Shivajinagar,Sanitation Department,2024-02,208656,92,2268
Shivajinagar,Sanitation Department,2024-03,115100,100,1151
Shivajinagar,Sanitation Department,2024-04,71370,65,1098
Shivajinagar,Sanitation Department,2024-05,9873,9,1097
Shivajinagar,Sanitation Department,2024-06,69552,54,1288
Shivajinagar,Sanitation Department,2024-07,27750,10,2775
Shivajinagar,Sanitation Department,2024-08,71896,86,836
Shivajinagar,Sanitation Department,2024-09,188712,72,2621
