complaint_id,complaint_text,area,type,filing_date,department,predicted_priority,status,area_eta,type_eta,resolved_days,resolution_date,predicted_priority_eta,rating,feedback_text,resolution_status,actual_cost,resolved_on,predicted_cost,actual_cost_anomaly,variance_flag,type_anomaly,area_anomaly
C0011,"Unauthorized parking near Lane 42 in Pimpri, causing congestion.",Pimpri,Illegal Parking,2025-02-27,Electricity Issue,Medium,Resolved,Camp,Tree Fall,15,2024-08-17,Medium,1,Issue still persists.,In Progress,0,,-34,0,No,Illegal Parking,Pimpri
C0012,"Unauthorized parking near Lane 24 in Deccan, causing congestion.",Deccan,Illegal Parking,2025-03-17,Road Damage,High,Resolved,Talegaon,Water Leakage,17,2024-01-09,High,4,Appreciate the fast response.,Rejected,0,,-286,0,No,Illegal Parking,Deccan
C0013,"High noise levels from activities near Lane 60 in Warje, disturbing peace.",Warje,Noise Pollution,2025-04-09,Streetlight Issue,High,Pending,Kondhwa,Street Light,6,2024-07-03,High,2,Very poor response.,Completed,3431,2025-03-04,3261,3431,No,Noise Pollution,Warje
C0014,"Frequent power cuts near Lane 19 in NIBM Road, needs investigation.",NIBM Road,Electricity Issue,2025-02-13,Illegal Parking,Low,Resolved,Erandwane,Drainage Problem,4,2024-12-04,Low,2,Neutral experience.,Rejected,0,,-42,0,No,Electricity Issue,NIBM Road
C0015,"Water leakage from pipeline near Lane 28 in Hadapsar, needs urgent attention.",Hadapsar,Water Issue,2025-01-07,Road Damage,High,Resolved,Aundh,Water Leakage,15,2024-11-06,High,2,Neutral experience.,Completed,1634,2025-03-18,1221,1634,Yes,Water Issue,Hadapsar
C0016,"Stray dogs causing fear near Lane 42 in NIBM Road, especially for kids.",NIBM Road,Animal Nuisance,2025-01-02,Animal Nuisance,High,Resolved,Kondhwa,Noise Pollution,19,2024-03-10,High,5,Very satisfied with the resolution.,Completed,7893,2025-01-24,7765,7893,No,Animal Nuisance,NIBM Road
C0017,"Damaged road with potholes near Lane 22 in Sinhagad Road, dangerous for vehicles.",Sinhagad Road,Road Damage,2025-03-13,Tree Falling,High,In Progress,Pimpri,Road Damage,11,2024-06-09,High,5,"Great service, very happy.",In Progress,0,,-401,0,Yes,Road Damage,Sinhagad Road
C0018,"Tree fallen near Lane 31 in Kothrud, blocking road and footpath.",Kothrud,Tree Falling,2025-01-10,Road Damage,Medium,Resolved,Camp,Illegal Construction,3,2024-04-10,Medium,4,Appreciate the fast response.,Completed,3806,2025-01-21,4177,3806,Yes,Tree Falling,Kothrud
C0019,"Sewage overflow issue near Lane 10 in Pimpri, foul smell and waterlogging.",Pimpri,Sewage Problem,2025-04-04,Illegal Parking,High,Pending,Warje,Noise Pollution,6,2024-12-28,High,2,"Not bad, not great.",Escalated,0,,163,0,No,Sewage Problem,Pimpri
C0020,"Damaged road with potholes near Lane 26 in Erandwane, dangerous for vehicles.",Erandwane,Road Damage,2025-03-11,Noise Pollution,High,In Progress,Dhankawadi,Water Leakage,16,2024-02-09,High,5,Very satisfied with the resolution.,Completed,7902,2024-06-09,7532,7902,Yes,Road Damage,Erandwane
C0021,"High noise levels from activities near Lane 2 in Baner, disturbing peace.",Baner,Noise Pollution,2025-03-09,Animal Nuisance,Low,Resolved,Dhanori,Illegal Construction,16,2024-02-12,Low,5,"Resolved quickly, thanks!",Completed,4496,2025-03-18,4657,4496,No,Noise Pollution,Baner
C0022,"Water leakage from pipeline near Lane 5 in Koregaon Park, needs urgent attention.",Koregaon Park,Water Issue,2025-01-22,Animal Nuisance,Low,Resolved,Chinchwad,Road Damage,11,2024-04-10,Low,5,Very satisfied with the resolution.,Completed,4966,2025-01-25,4774,4966,No,Water Issue,Koregaon Park
C0023,"High noise levels from activities near Lane 55 in Sinhagad Road, disturbing peace.",Sinhagad Road,Noise Pollution,2025-02-02,Road Damage,Low,Resolved,Baner,Tree Fall,8,2024-06-11,Low,4,"Resolved quickly, thanks!",Completed,6756,2024-06-11,7025,6756,No,Noise Pollution,Sinhagad Road
C0024,"Water leakage from pipeline near Lane 63 in Wanowrie, needs urgent attention.",Wanowrie,Water Issue,2025-03-30,Electricity Issue,High,Pending,Karvenagar,Illegal Construction,5,2024-09-23,High,5,Very satisfied with the resolution.,Completed,7353,2025-01-21,7196,7353,No,Water Issue,Wanowrie
C0025,"Tree fallen near Lane 18 in Hadapsar, blocking road and footpath.",Hadapsar,Tree Falling,2025-01-16,Garbage Issue,High,Pending,Kothrud,Illegal Construction,4,2024-04-18,High,4,Very satisfied with the resolution.,Completed,6223,2024-09-06,6214,6223,No,Tree Falling,Hadapsar
C0026,"Water leakage from pipeline near Lane 25 in Pimpri, needs urgent attention.",Pimpri,Water Issue,2025-01-22,Sewage Problem,Low,Pending,Kothrud,Illegal Construction,16,2024-07-02,Low,5,Appreciate the fast response.,Completed,2351,2025-03-13,2264,2351,No,Water Issue,Pimpri
C0027,"Unauthorized parking near Lane 32 in Deccan, causing congestion.",Deccan,Illegal Parking,2025-03-07,Noise Pollution,High,In Progress,Swargate,Animal Nuisance,1,2024-11-02,High,4,"Resolved quickly, thanks!",Completed,9715,2025-03-16,10020,9715,Yes,Illegal Parking,Deccan
C0028,"Stray dogs causing fear near Lane 4 in Nigdi, especially for kids.",Nigdi,Animal Nuisance,2025-03-17,Tree Falling,Medium,Pending,Talegaon,Sewage Overflow,12,2024-07-22,Medium,4,Appreciate the fast response.,Completed,5198,2024-03-04,5083,5198,No,Animal Nuisance,Nigdi
C0029,"Frequent power cuts near Lane 37 in Camp, needs investigation.",Camp,Electricity Issue,2025-01-06,Animal Nuisance,Low,In Progress,Karvenagar,Animal Nuisance,8,2024-12-07,Low,4,Very satisfied with the resolution.,Completed,7335,2025-03-14,7026,7335,Yes,Electricity Issue,Camp
C0030,"Sewage overflow issue near Lane 29 in Chinchwad, foul smell and waterlogging.",Chinchwad,Sewage Problem,2025-03-09,Garbage Issue,High,Pending,Erandwane,Street Light,3,2024-03-06,High,2,Neutral experience.,In Progress,0,,455,0,Yes,Sewage Problem,Chinchwad
C0031,"Stray dogs causing fear near Lane 2 in Dhanori, especially for kids.",Dhanori,Animal Nuisance,2025-03-13,Sewage Problem,Medium,Pending,Balewadi,Animal Nuisance,6,2024-04-27,Medium,2,Took some time but resolved.,Rejected,0,,-224,0,No,Animal Nuisance,Dhanori
C0032,"High noise levels from activities near Lane 63 in Swargate, disturbing peace.",Swargate,Noise Pollution,2025-01-30,Water Issue,Low,Resolved,Camp,Illegal Construction,14,2024-09-18,Low,5,"Great service, very happy.",In Progress,0,,-340,0,Yes,Noise Pollution,Swargate
C0033,"Uncollected garbage near Lane 40 in Wanowrie, causing health concerns.",Wanowrie,Garbage Issue,2025-04-10,Road Damage,Medium,Pending,Pimpri,Garbage Issue,7,2024-11-04,Medium,4,Very satisfied with the resolution.,Completed,2326,2024-09-07,2285,2326,No,Garbage Issue,Wanowrie
C0034,"Uncollected garbage near Lane 39 in Aundh, causing health concerns.",Aundh,Garbage Issue,2025-03-13,Water Issue,Medium,Pending,Camp,Animal Nuisance,15,2024-03-12,Medium,3,"Not bad, not great.",Completed,4342,2024-09-14,4155,4342,No,Garbage Issue,Aundh
C0035,"Sewage overflow issue near Lane 36 in Dhanori, foul smell and waterlogging.",Dhanori,Sewage Problem,2025-02-24,Sewage Problem,Low,In Progress,Lohegaon,Water Leakage,9,2024-12-24,Low,2,Average service.,Completed,3430,2024-08-28,2951,3430,Yes,Sewage Problem,Dhanori
C0036,"Tree fallen near Lane 62 in Parvati, blocking road and footpath.",Parvati,Tree Falling,2025-02-28,Electricity Issue,Low,In Progress,Kothrud,Drainage Problem,14,2024-11-16,Low,1,Had to follow up multiple times.,Completed,3987,2024-12-25,3739,3987,No,Tree Falling,Parvati
C0037,"Damaged road with potholes near Lane 70 in Wanowrie, dangerous for vehicles.",Wanowrie,Road Damage,2025-01-04,Electricity Issue,Medium,Pending,Talegaon,Noise Pollution,6,2024-02-05,Medium,3,Took some time but resolved.,Completed,8825,2024-06-11,9072,8825,No,Road Damage,Wanowrie
C0038,"Streetlights not working near Lane 51 in Wanowrie, causing night-time hazards.",Wanowrie,Streetlight Issue,2025-03-23,Illegal Parking,Low,Resolved,Camp,Road Damage,2,2024-08-03,Low,2,Took too long to resolve.,Rejected,0,,356,0,Yes,Streetlight Issue,Wanowrie
C0039,"Uncollected garbage near Lane 40 in Aundh, causing health concerns.",Aundh,Garbage Issue,2025-03-16,Noise Pollution,High,In Progress,Kondhwa,Noise Pollution,1,2024-11-29,High,5,"Resolved quickly, thanks!",Completed,4232,2024-04-28,4292,4232,No,Garbage Issue,Aundh
C0040,"Damaged road with potholes near Lane 34 in Pimpri, dangerous for vehicles.",Pimpri,Road Damage,2025-04-04,Sewage Problem,Low,Resolved,Pashan,Garbage Issue,16,2024-04-06,Low,5,Appreciate the fast response.,Completed,3888,2024-05-26,3862,3888,No,Road Damage,Pimpri
C0041,"Unauthorized parking near Lane 69 in Erandwane, causing congestion.",Erandwane,Illegal Parking,2025-03-09,Streetlight Issue,High,Resolved,Dhanori,Drainage Problem,9,2024-12-16,High,4,"Resolved quickly, thanks!",Completed,1051,2024-07-07,609,1051,Yes,Illegal Parking,Erandwane
C0042,"Streetlights not working near Lane 4 in Pashan, causing night-time hazards.",Pashan,Streetlight Issue,2025-03-28,Electricity Issue,High,Resolved,Vishrantwadi,Sewage Overflow,7,2024-09-24,High,5,Issue handled professionally.,Completed,7252,2024-04-14,7262,7252,No,Streetlight Issue,Pashan
C0043,"Frequent power cuts near Lane 38 in Deccan, needs investigation.",Deccan,Electricity Issue,2025-04-05,Tree Falling,Low,Resolved,Parvati,Tree Fall,12,2024-05-23,Low,4,Appreciate the fast response.,Completed,4013,2024-12-31,4194,4013,No,Electricity Issue,Deccan
C0044,"Water leakage from pipeline near Lane 7 in Kharadi, needs urgent attention.",Kharadi,Water Issue,2025-02-06,Sewage Problem,Low,In Progress,Nigdi,Tree Fall,10,2024-07-27,Low,5,Appreciate the fast response.,Completed,1735,2024-08-11,1710,1735,No,Water Issue,Kharadi
C0045,"High noise levels from activities near Lane 23 in Dhankawadi, disturbing peace.",Dhankawadi,Noise Pollution,2025-02-14,Road Damage,Medium,Pending,Sinhagad Road,Road Damage,1,2024-10-01,Medium,5,Very satisfied with the resolution.,Completed,2055,2024-08-30,2254,2055,No,Noise Pollution,Dhankawadi
C0046,"High noise levels from activities near Lane 42 in Kharadi, disturbing peace.",Kharadi,Noise Pollution,2025-01-18,Water Issue,Low,Pending,Vishrantwadi,Illegal Construction,7,2024-03-18,Low,3,Average service.,In Progress,0,,475,0,Yes,Noise Pollution,Kharadi
C0047,"Uncollected garbage near Lane 41 in NIBM Road, causing health concerns.",NIBM Road,Garbage Issue,2025-01-27,Water Issue,High,Pending,Fursungi,Noise Pollution,5,2024-12-14,High,4,"Resolved quickly, thanks!",In Progress,0,,282,0,No,Garbage Issue,NIBM Road
C0048,"Stray dogs causing fear near Lane 59 in Erandwane, especially for kids.",Erandwane,Animal Nuisance,2025-03-19,Electricity Issue,Medium,Resolved,Pimpri,Tree Fall,1,2024-05-16,Medium,5,Appreciate the fast response.,Completed,644,2024-12-27,333,644,Yes,Animal Nuisance,Erandwane
C0049,"Sewage overflow issue near Lane 31 in Hadapsar, foul smell and waterlogging.",Hadapsar,Sewage Problem,2025-03-12,Animal Nuisance,Medium,Pending,Shivajinagar,Tree Fall,9,2024-03-13,Medium,3,Neutral experience.,In Progress,0,,457,0,Yes,Sewage Problem,Hadapsar
C0050,"High noise levels from activities near Lane 44 in Nigdi, disturbing peace.",Nigdi,Noise Pollution,2025-01-23,Illegal Parking,High,In Progress,Parvati,Drainage Problem,1,2024-12-11,High,4,Very satisfied with the resolution.,Escalated,0,,186,0,No,Noise Pollution,Nigdi
C0051,"High noise levels from activities near Lane 59 in Sinhagad Road, disturbing peace.",Sinhagad Road,Noise Pollution,2025-02-04,Sewage Problem,High,Resolved,Kothrud,Sewage Overflow,10,2024-07-08,High,5,Appreciate the fast response.,Rejected,0,,457,0,Yes,Noise Pollution,Sinhagad Road
C0052,"Unauthorized parking near Lane 46 in NIBM Road, causing congestion.",NIBM Road,Illegal Parking,2025-03-24,Road Damage,Medium,Resolved,Nanded,Garbage Issue,11,2024-06-05,Medium,4,Appreciate the fast response.,In Progress,0,,62,0,No,Illegal Parking,NIBM Road
C0053,"Stray dogs causing fear near Lane 39 in Sinhagad Road, especially for kids.",Sinhagad Road,Animal Nuisance,2025-03-19,Sewage Problem,Medium,Resolved,Chinchwad,Noise Pollution,15,2024-07-08,Medium,3,"Not bad, not great.",Completed,1781,2024-04-28,2156,1781,Yes,Animal Nuisance,Sinhagad Road
C0054,"Streetlights not working near Lane 17 in Baner, causing night-time hazards.",Baner,Streetlight Issue,2025-04-01,Road Damage,Medium,In Progress,Kothrud,Garbage Issue,16,2024-08-12,Medium,4,"Great service, very happy.",Completed,9033,2024-09-27,9099,9033,No,Streetlight Issue,Baner
C0055,"Water leakage from pipeline near Lane 60 in Pashan, needs urgent attention.",Pashan,Water Issue,2025-04-10,Noise Pollution,High,In Progress,Nanded,Sewage Overflow,19,2024-05-19,High,4,Very satisfied with the resolution.,In Progress,0,,-257,0,No,Water Issue,Pashan
C0056,"Stray dogs causing fear near Lane 54 in Baner, especially for kids.",Baner,Animal Nuisance,2025-01-17,Garbage Issue,High,In Progress,Warje,Garbage Issue,5,2024-06-27,High,5,Very satisfied with the resolution.,Completed,573,2024-12-15,904,573,Yes,Animal Nuisance,Baner
C0057,"Sewage overflow issue near Lane 41 in Deccan, foul smell and waterlogging.",Deccan,Sewage Problem,2025-01-14,Streetlight Issue,Medium,In Progress,Shivajinagar,Animal Nuisance,10,2024-01-24,Medium,4,Very satisfied with the resolution.,Completed,5647,2025-01-07,5651,5647,No,Sewage Problem,Deccan
C0058,"Unauthorized parking near Lane 3 in Swargate, causing congestion.",Swargate,Illegal Parking,2025-03-12,Garbage Issue,Medium,Pending,Viman Nagar,Garbage Issue,17,2024-07-29,Medium,2,Average service.,Completed,8340,2024-06-21,7970,8340,Yes,Illegal Parking,Swargate
C0059,"High noise levels from activities near Lane 69 in Kothrud, disturbing peace.",Kothrud,Noise Pollution,2025-01-15,Streetlight Issue,Low,Pending,Kothrud,Sewage Overflow,10,2024-08-10,Low,2,Neutral experience.,Completed,9482,2024-02-08,9466,9482,No,Noise Pollution,Kothrud
C0060,"Frequent power cuts near Lane 45 in Model Colony, needs investigation.",Model Colony,Electricity Issue,2025-01-05,Animal Nuisance,High,In Progress,Fursungi,Illegal Construction,3,2024-04-11,High,4,Very satisfied with the resolution.,Rejected,0,,318,0,Yes,Electricity Issue,Model Colony
C0061,"Streetlights not working near Lane 44 in Pimpri, causing night-time hazards.",Pimpri,Streetlight Issue,2025-03-18,Tree Falling,Medium,Resolved,Fursungi,Street Light,20,2024-09-27,Medium,2,Not satisfied with the service.,Completed,7879,2024-09-05,8025,7879,No,Streetlight Issue,Pimpri
C0062,"Damaged road with potholes near Lane 21 in Dhanori, dangerous for vehicles.",Dhanori,Road Damage,2025-03-10,Streetlight Issue,High,In Progress,Bavdhan,Drainage Problem,11,2024-08-17,High,1,Had to follow up multiple times.,Completed,6182,2024-09-12,5702,6182,Yes,Road Damage,Dhanori
C0063,"Sewage overflow issue near Lane 47 in Model Colony, foul smell and waterlogging.",Model Colony,Sewage Problem,2025-02-06,Electricity Issue,Medium,Resolved,Balewadi,Tree Fall,10,2024-03-20,Medium,3,Took some time but resolved.,Rejected,0,,340,0,Yes,Sewage Problem,Model Colony
C0064,"Unauthorized parking near Lane 27 in Warje, causing congestion.",Warje,Illegal Parking,2025-01-19,Sewage Problem,High,In Progress,Pimpri,Sewage Overflow,10,2024-03-07,High,2,Very poor response.,Completed,2318,2024-07-01,1984,2318,Yes,Illegal Parking,Warje
C0065,"Unauthorized parking near Lane 21 in Nigdi, causing congestion.",Nigdi,Illegal Parking,2025-03-11,Illegal Parking,Medium,In Progress,Shivajinagar,Water Leakage,9,2024-07-12,Medium,5,Very satisfied with the resolution.,Completed,3191,2024-11-22,2964,3191,No,Illegal Parking,Nigdi
C0066,"High noise levels from activities near Lane 59 in Aundh, disturbing peace.",Aundh,Noise Pollution,2025-01-06,Animal Nuisance,Medium,In Progress,Balewadi,Animal Nuisance,15,2024-11-09,Medium,5,"Great service, very happy.",Completed,1629,2024-01-15,1516,1629,No,Noise Pollution,Aundh
C0067,"Damaged road with potholes near Lane 68 in Model Colony, dangerous for vehicles.",Model Colony,Road Damage,2025-01-07,Noise Pollution,Low,Resolved,Balewadi,Sewage Overflow,5,2024-11-24,Low,4,Appreciate the fast response.,Completed,5248,2024-05-05,5348,5248,No,Road Damage,Model Colony
C0068,"Water leakage from pipeline near Lane 54 in Sinhagad Road, needs urgent attention.",Sinhagad Road,Water Issue,2025-03-05,Animal Nuisance,Medium,In Progress,Kondhwa,Sewage Overflow,14,2024-02-07,Medium,1,Issue still persists.,Rejected,0,,-185,0,No,Water Issue,Sinhagad Road
C0069,"Frequent power cuts near Lane 9 in Balewadi, needs investigation.",Balewadi,Electricity Issue,2025-02-17,Illegal Parking,Medium,Pending,Warje,Garbage Issue,13,2024-12-09,Medium,5,Very satisfied with the resolution.,Completed,2829,2024-11-10,2342,2829,Yes,Electricity Issue,Balewadi
C0070,"Sewage overflow issue near Lane 20 in Dhankawadi, foul smell and waterlogging.",Dhankawadi,Sewage Problem,2025-02-20,Garbage Issue,Medium,In Progress,Swargate,Road Damage,10,2024-11-29,Medium,2,Neutral experience.,In Progress,0,,-259,0,No,Sewage Problem,Dhankawadi
C0071,"Stray dogs causing fear near Lane 69 in Bavdhan, especially for kids.",Bavdhan,Animal Nuisance,2025-02-15,Noise Pollution,High,Resolved,Kharadi,Garbage Issue,11,2024-10-09,High,4,Issue handled professionally.,Completed,9410,2025-03-01,9686,9410,No,Animal Nuisance,Bavdhan
C0072,"Streetlights not working near Lane 17 in Nigdi, causing night-time hazards.",Nigdi,Streetlight Issue,2025-01-01,Electricity Issue,Medium,Pending,Vishrantwadi,Noise Pollution,4,2024-03-10,Medium,5,"Great service, very happy.",Completed,3026,2024-01-26,2871,3026,No,Streetlight Issue,Nigdi
C0073,"Tree fallen near Lane 42 in Erandwane, blocking road and footpath.",Erandwane,Tree Falling,2025-04-09,Water Issue,Low,In Progress,Camp,Road Damage,14,2024-02-17,Low,4,Very satisfied with the resolution.,Completed,3645,2024-04-11,3709,3645,No,Tree Falling,Erandwane
C0074,"Sewage overflow issue near Lane 6 in Viman Nagar, foul smell and waterlogging.",Viman Nagar,Sewage Problem,2025-02-22,Illegal Parking,Low,Resolved,Shivajinagar,Road Damage,10,2024-05-27,Low,5,"Great service, very happy.",Completed,6073,2024-06-26,6470,6073,Yes,Sewage Problem,Viman Nagar
C0075,"Unauthorized parking near Lane 24 in Viman Nagar, causing congestion.",Viman Nagar,Illegal Parking,2025-03-14,Water Issue,High,Pending,Aundh,Street Light,1,2024-05-24,High,5,"Great service, very happy.",Completed,1064,2024-02-14,903,1064,No,Illegal Parking,Viman Nagar
C0076,"Sewage overflow issue near Lane 49 in Viman Nagar, foul smell and waterlogging.",Viman Nagar,Sewage Problem,2025-01-08,Road Damage,Low,In Progress,Dhanori,Drainage Problem,19,2024-07-13,Low,1,Not satisfied with the service.,Completed,8229,2024-07-06,7820,8229,Yes,Sewage Problem,Viman Nagar
C0077,"Stray dogs causing fear near Lane 29 in NIBM Road, especially for kids.",NIBM Road,Animal Nuisance,2025-02-01,Road Damage,High,Pending,Hadapsar,Animal Nuisance,6,2024-06-07,High,4,Issue handled professionally.,Completed,9566,2024-05-23,9432,9566,No,Animal Nuisance,NIBM Road
C0078,"Damaged road with potholes near Lane 24 in Chinchwad, dangerous for vehicles.",Chinchwad,Road Damage,2025-03-31,Noise Pollution,Medium,In Progress,Fursungi,Noise Pollution,8,2024-04-23,Medium,2,Took some time but resolved.,Rejected,0,,455,0,Yes,Road Damage,Chinchwad
C0079,"Streetlights not working near Lane 31 in Deccan, causing night-time hazards.",Deccan,Streetlight Issue,2025-02-04,Streetlight Issue,Low,Resolved,Vishrantwadi,Sewage Overflow,19,2024-06-04,Low,2,Average service.,Escalated,0,,-46,0,No,Streetlight Issue,Deccan
C0080,"Frequent power cuts near Lane 23 in Erandwane, needs investigation.",Erandwane,Electricity Issue,2025-01-30,Illegal Parking,Low,In Progress,Dhankawadi,Street Light,9,2024-01-30,Low,1,Not satisfied with the service.,Rejected,0,,-73,0,No,Electricity Issue,Erandwane
C0081,"High noise levels from activities near Lane 37 in Koregaon Park, disturbing peace.",Koregaon Park,Noise Pollution,2025-02-07,Tree Falling,Low,Pending,Pashan,Garbage Issue,18,2024-02-27,Low,5,"Great service, very happy.",Completed,6848,2024-06-02,6856,6848,No,Noise Pollution,Koregaon Park
C0082,"Sewage overflow issue near Lane 18 in Bibwewadi, foul smell and waterlogging.",Bibwewadi,Sewage Problem,2025-02-16,Streetlight Issue,High,In Progress,Nanded,Illegal Construction,16,2024-09-25,High,1,Had to follow up multiple times.,Rejected,0,,275,0,No,Sewage Problem,Bibwewadi
C0083,"Damaged road with potholes near Lane 5 in Camp, dangerous for vehicles.",Camp,Road Damage,2025-02-06,Electricity Issue,High,In Progress,Aundh,Sewage Overflow,6,2024-03-02,High,4,Issue handled professionally.,Rejected,0,,442,0,Yes,Road Damage,Camp
C0084,"Frequent power cuts near Lane 38 in Pimpri, needs investigation.",Pimpri,Electricity Issue,2025-01-26,Tree Falling,Low,Pending,Pimpri,Garbage Issue,20,2024-01-10,Low,2,Neutral experience.,In Progress,0,,-466,0,Yes,Electricity Issue,Pimpri
C0085,"Damaged road with potholes near Lane 66 in Wanowrie, dangerous for vehicles.",Wanowrie,Road Damage,2025-03-19,Sewage Problem,Low,Resolved,Pashan,Tree Fall,5,2024-05-29,Low,3,Took some time but resolved.,In Progress,0,,-295,0,No,Road Damage,Wanowrie
C0086,"Tree fallen near Lane 3 in Erandwane, blocking road and footpath.",Erandwane,Tree Falling,2025-03-03,Noise Pollution,Medium,In Progress,Shivajinagar,Illegal Construction,2,2024-05-26,Medium,4,"Great service, very happy.",Completed,1502,2025-03-02,1082,1502,Yes,Tree Falling,Erandwane
C0087,"Streetlights not working near Lane 40 in Deccan, causing night-time hazards.",Deccan,Streetlight Issue,2025-03-05,Illegal Parking,Low,Resolved,Karvenagar,Illegal Construction,18,2024-06-14,Low,5,"Great service, very happy.",Completed,6918,2024-02-26,7349,6918,Yes,Streetlight Issue,Deccan
C0088,"High noise levels from activities near Lane 64 in Pashan, disturbing peace.",Pashan,Noise Pollution,2025-01-01,Noise Pollution,Medium,Resolved,Swargate,Illegal Construction,13,2024-02-26,Medium,5,Appreciate the fast response.,Completed,1346,2025-03-27,1407,1346,No,Noise Pollution,Pashan
C0089,"Tree fallen near Lane 45 in Swargate, blocking road and footpath.",Swargate,Tree Falling,2025-03-24,Tree Falling,Medium,Pending,Swargate,Sewage Overflow,5,2024-06-12,Medium,4,Appreciate the fast response.,Completed,8176,2024-06-16,8547,8176,Yes,Tree Falling,Swargate
C0090,"Uncollected garbage near Lane 40 in Sinhagad Road, causing health concerns.",Sinhagad Road,Garbage Issue,2025-02-26,Tree Falling,Low,Pending,Nanded,Drainage Problem,19,2024-12-15,Low,5,Appreciate the fast response.,Completed,2320,2024-04-27,2207,2320,No,Garbage Issue,Sinhagad Road
C0091,"Damaged road with potholes near Lane 23 in Wagholi, dangerous for vehicles.",Wagholi,Road Damage,2025-03-23,Animal Nuisance,Low,In Progress,Viman Nagar,Garbage Issue,13,2024-01-12,Low,1,Took too long to resolve.,Completed,3502,2024-09-20,3003,3502,Yes,Road Damage,Wagholi
C0092,"Stray dogs causing fear near Lane 29 in Pimpri, especially for kids.",Pimpri,Animal Nuisance,2025-03-20,Streetlight Issue,High,In Progress,Bavdhan,Animal Nuisance,5,2024-06-21,High,5,Very satisfied with the resolution.,Completed,5990,2025-02-07,5879,5990,No,Animal Nuisance,Pimpri
C0093,"Unauthorized parking near Lane 67 in Dhankawadi, causing congestion.",Dhankawadi,Illegal Parking,2025-04-10,Garbage Issue,Medium,In Progress,Sinhagad Road,Noise Pollution,11,2024-01-13,Medium,5,Very satisfied with the resolution.,In Progress,0,,65,0,No,Illegal Parking,Dhankawadi
C0094,"Streetlights not working near Lane 57 in Deccan, causing night-time hazards.",Deccan,Streetlight Issue,2025-02-23,Sewage Problem,Medium,In Progress,Nigdi,Noise Pollution,15,2024-02-08,Medium,5,Very satisfied with the resolution.,Completed,1578,2024-01-05,1183,1578,Yes,Streetlight Issue,Deccan
