area,department,month,total_spent,complaints_handled,avg_cost,performance
Hadapsar,Electricity Distribution Department,November 2024,85756,44,1949,Good
Hadapsar,Electricity Distribution Department,December 2024,87040,34,2560,Good
Hadapsar,Public Works Department,January 2024,69520,88,790,Bad
Hadapsar,Public Works Department,February 2024,32616,24,1359,Good
Hadapsar,Public Works Department,March 2024,92906,41,2266,Good
Hadapsar,Public Works Department,April 2024,121770,41,2970,Good
Hadapsar,Public Works Department,May 2024,13915,11,1265,Good
Hadapsar,Public Works Department,June 2024,62296,52,1198,Bad
Hadapsar,Public Works Department,July 2024,124173,81,1533,Bad
Hadapsar,Public Works Department,August 2024,56712,68,834,Bad
Hadapsar,Public Works Department,September 2024,158311,53,2987,Bad
Hadapsar,Public Works Department,October 2024,43740,54,810,Bad
Hadapsar,Public Works Department,November 2024,35550,30,1185,Good
Hadapsar,Public Works Department,December 2024,182942,82,2231,Bad
Hadapsar,Environmental Protection Department,January 2024,183547,91,2017,Bad
Hadapsar,Environmental Protection Department,February 2024,88165,55,1603,Bad
Hadapsar,Environmental Protection Department,March 2024,72192,48,1504,Good
Hadapsar,Environmental Protection Department,April 2024,114802,61,1882,Bad
Hadapsar,Environmental Protection Department,May 2024,34510,58,595,Bad
Hadapsar,Environmental Protection Department,June 2024,17430,30,581,Good
Hadapsar,Environmental Protection Department,July 2024,45144,36,1254,Good
Hadapsar,Environmental Protection Department,August 2024,44239,41,1079,Good
Hadapsar,Environmental Protection Department,September 2024,102858,79,1302,Bad
Hadapsar,Environmental Protection Department,October 2024,9621,9,1069,Good
Hadapsar,Environmental Protection Department,November 2024,37333,37,1009,Good
Hadapsar,Environmental Protection Department,December 2024,232518,78,2981,Bad
Hadapsar,Traffic and Transportation Department,January 2024,40250,46,875,Good
Hadapsar,Traffic and Transportation Department,February 2024,16380,7,2340,Good
Hadapsar,Traffic and Transportation Department,March 2024,14436,9,1604,Good
Hadapsar,Traffic and Transportation Department,April 2024,162640,76,2140,Bad
Hadapsar,Traffic and Transportation Department,May 2024,246993,87,2839,Bad
Hadapsar,Traffic and Transportation Department,June 2024,42200,40,1055,Good
Hadapsar,Traffic and Transportation Department,July 2024,22824,36,634,Good
Hadapsar,Traffic and Transportation Department,August 2024,81877,41,1997,Good
Hadapsar,Traffic and Transportation Department,September 2024,77216,32,2413,Good
Hadapsar,Traffic and Transportation Department,October 2024,17960,10,1796,Good
Hadapsar,Traffic and Transportation Department,November 2024,6620,5,1324,Good
Hadapsar,Traffic and Transportation Department,December 2024,195605,95,2059,Bad
Hadapsar,Environmental Protection Department,January 2024,84286,74,1139,Bad
Hadapsar,Environmental Protection Department,February 2024,72666,99,734,Bad
Hadapsar,Environmental Protection Department,March 2024,137860,61,2260,Bad
Hadapsar,Environmental Protection Department,April 2024,119124,54,2206,Bad
Hadapsar,Environmental Protection Department,May 2024,193313,79,2447,Bad
Hadapsar,Environmental Protection Department,June 2024,69904,34,2056,Good
Hadapsar,Environmental Protection Department,July 2024,97980,69,1420,Bad
Hadapsar,Environmental Protection Department,August 2024,142630,85,1678,Bad
Hadapsar,Environmental Protection Department,September 2024,268090,95,2822,Bad
Hadapsar,Environmental Protection Department,October 2024,165000,66,2500,Bad
Hadapsar,Environmental Protection Department,November 2024,255265,95,2687,Bad
Hadapsar,Environmental Protection Department,December 2024,27070,10,2707,Good
Hadapsar,Urban Forestry and Landscaping Department,January 2024,34440,42,820,Good
Hadapsar,Urban Forestry and Landscaping Department,February 2024,11952,16,747,Good
Hadapsar,Urban Forestry and Landscaping Department,March 2024,259805,91,2855,Bad
Hadapsar,Urban Forestry and Landscaping Department,April 2024,156704,83,1888,Bad
Hadapsar,Urban Forestry and Landscaping Department,May 2024,106377,59,1803,Bad
Hadapsar,Urban Forestry and Landscaping Department,June 2024,139104,69,2016,Bad
Hadapsar,Urban Forestry and Landscaping Department,July 2024,147740,83,1780,Bad
Hadapsar,Urban Forestry and Landscaping Department,August 2024,87720,30,2924,Good
Hadapsar,Urban Forestry and Landscaping Department,September 2024,100232,34,2948,Good
Hadapsar,Urban Forestry and Landscaping Department,October 2024,71326,38,1877,Good
Hadapsar,Urban Forestry and Landscaping Department,November 2024,213500,100,2135,Bad
Hadapsar,Urban Forestry and Landscaping Department,December 2024,32144,56,574,Bad
Hadapsar,Animal Control and Welfare Department,January 2024,53640,24,2235,Good
Hadapsar,Animal Control and Welfare Department,February 2024,231868,98,2366,Bad
Hadapsar,Animal Control and Welfare Department,March 2024,164430,58,2835,Bad
Hadapsar,Animal Control and Welfare Department,April 2024,77427,63,1229,Bad
Hadapsar,Animal Control and Welfare Department,May 2024,76415,85,899,Bad
Hadapsar,Animal Control and Welfare Department,June 2024,26576,16,1661,Good
Hadapsar,Animal Control and Welfare Department,July 2024,119250,75,1590,Bad
Hadapsar,Animal Control and Welfare Department,August 2024,132900,60,2215,Bad
Hadapsar,Animal Control and Welfare Department,September 2024,194370,93,2090,Bad
Hadapsar,Animal Control and Welfare Department,October 2024,6965,5,1393,Good
Hadapsar,Animal Control and Welfare Department,November 2024,75816,27,2808,Good
Hadapsar,Animal Control and Welfare Department,December 2024,54180,84,645,Bad
Hadapsar,Sewerage and Drainage Department,January 2024,12159,9,1351,Good
Hadapsar,Sewerage and Drainage Department,February 2024,49216,32,1538,Good
Hadapsar,Sewerage and Drainage Department,March 2024,77121,57,1353,Bad
Hadapsar,Sewerage and Drainage Department,April 2024,27300,35,780,Good
Hadapsar,Sewerage and Drainage Department,May 2024,22284,36,619,Good
Hadapsar,Sewerage and Drainage Department,June 2024,40392,66,612,Bad
Hadapsar,Sewerage and Drainage Department,July 2024,99084,92,1077,Bad
Hadapsar,Sewerage and Drainage Department,August 2024,87208,88,991,Bad
Hadapsar,Sewerage and Drainage Department,September 2024,121132,44,2753,Good
Hadapsar,Sewerage and Drainage Department,October 2024,57918,21,2758,Good
Hadapsar,Sewerage and Drainage Department,November 2024,27672,24,1153,Good
Hadapsar,Sewerage and Drainage Department,December 2024,203098,89,2282,Bad
Kothrud,Municipal Waste Management Department,January 2024,147190,82,1795,Bad
Kothrud,Municipal Waste Management Department,February 2024,56780,20,2839,Good
Kothrud,Municipal Waste Management Department,March 2024,42381,51,831,Bad
Kothrud,Municipal Waste Management Department,April 2024,12468,6,2078,Good
Kothrud,Municipal Waste Management Department,May 2024,92738,89,1042,Bad
Kothrud,Municipal Waste Management Department,June 2024,123486,66,1871,Bad
Kothrud,Municipal Waste Management Department,July 2024,161786,82,1973,Bad
Kothrud,Municipal Waste Management Department,August 2024,13700,20,685,Good
Kothrud,Municipal Waste Management Department,September 2024,90528,82,1104,Bad
Kothrud,Municipal Waste Management Department,October 2024,264592,92,2876,Bad
Kothrud,Municipal Waste Management Department,November 2024,238572,94,2538,Bad
Kothrud,Municipal Waste Management Department,December 2024,78058,62,1259,Bad
Kothrud,Water Supply and Sanitation Department,January 2024,34450,53,650,Bad
Kothrud,Water Supply and Sanitation Department,February 2024,183744,87,2112,Bad
Kothrud,Water Supply and Sanitation Department,March 2024,42300,15,2820,Good
Kothrud,Water Supply and Sanitation Department,April 2024,79616,32,2488,Good
Kothrud,Water Supply and Sanitation Department,May 2024,40052,19,2108,Good
Kothrud,Water Supply and Sanitation Department,June 2024,83898,59,1422,Bad
Kothrud,Water Supply and Sanitation Department,July 2024,183951,81,2271,Bad
Kothrud,Water Supply and Sanitation Department,August 2024,175020,60,2917,Bad
Kothrud,Water Supply and Sanitation Department,September 2024,100856,56,1801,Bad
Kothrud,Water Supply and Sanitation Department,October 2024,32160,48,670,Good
Kothrud,Water Supply and Sanitation Department,November 2024,95292,36,2647,Good
Kothrud,Water Supply and Sanitation Department,December 2024,28578,33,866,Good
Kothrud,Electricity Distribution Department,January 2024,73880,40,1847,Good
Kothrud,Electricity Distribution Department,February 2024,77280,92,840,Bad
Kothrud,Electricity Distribution Department,March 2024,107848,52,2074,Bad
Kothrud,Electricity Distribution Department,April 2024,108528,56,1938,Bad
Kothrud,Electricity Distribution Department,May 2024,27040,26,1040,Good
Kothrud,Electricity Distribution Department,June 2024,95715,45,2127,Good
Kothrud,Electricity Distribution Department,July 2024,87750,78,1125,Bad
Kothrud,Electricity Distribution Department,August 2024,155561,71,2191,Bad
Kothrud,Electricity Distribution Department,September 2024,43731,43,1017,Good
Kothrud,Electricity Distribution Department,October 2024,93500,50,1870,Bad
Kothrud,Electricity Distribution Department,November 2024,59625,45,1325,Good
Kothrud,Electricity Distribution Department,December 2024,143150,70,2045,Bad
Kothrud,Public Works Department,January 2024,71630,65,1102,Bad
Kothrud,Public Works Department,February 2024,103806,73,1422,Bad
Kothrud,Public Works Department,March 2024,28272,16,1767,Good
Kothrud,Public Works Department,April 2024,118487,47,2521,Good
Kothrud,Public Works Department,May 2024,54740,23,2380,Good
Kothrud,Public Works Department,June 2024,20325,15,1355,Good
Kothrud,Public Works Department,July 2024,33984,16,2124,Good
Kothrud,Public Works Department,August 2024,24435,45,543,Good
Kothrud,Public Works Department,September 2024,173320,70,2476,Bad
Kothrud,Public Works Department,October 2024,34762,26,1337,Good
Kothrud,Public Works Department,November 2024,32496,16,2031,Good
Kothrud,Public Works Department,December 2024,180246,66,2731,Bad
Kothrud,Environmental Protection Department,January 2024,117176,97,1208,Bad
Kothrud,Environmental Protection Department,February 2024,240963,93,2591,Bad
Kothrud,Environmental Protection Department,March 2024,56007,21,2667,Good
Kothrud,Environmental Protection Department,April 2024,116832,96,1217,Bad
Kothrud,Environmental Protection Department,May 2024,55748,44,1267,Good
Kothrud,Environmental Protection Department,June 2024,77841,93,837,Bad
Kothrud,Environmental Protection Department,July 2024,199995,67,2985,Bad
Kothrud,Environmental Protection Department,August 2024,71460,45,1588,Good
Kothrud,Environmental Protection Department,September 2024,16680,20,834,Good
Kothrud,Environmental Protection Department,October 2024,108570,66,1645,Bad
Kothrud,Environmental Protection Department,November 2024,162652,74,2198,Bad
Kothrud,Environmental Protection Department,December 2024,140200,100,1402,Bad
Kothrud,Traffic and Transportation Department,January 2024,20471,11,1861,Good
Kothrud,Traffic and Transportation Department,February 2024,9256,8,1157,Good
Kothrud,Traffic and Transportation Department,March 2024,224688,93,2416,Bad
Kothrud,Traffic and Transportation Department,April 2024,95184,48,1983,Good
Kothrud,Traffic and Transportation Department,May 2024,33464,47,712,Good
Kothrud,Traffic and Transportation Department,June 2024,132000,88,1500,Bad
Kothrud,Traffic and Transportation Department,July 2024,107200,100,1072,Bad
Kothrud,Traffic and Transportation Department,August 2024,126378,59,2142,Bad
Kothrud,Traffic and Transportation Department,September 2024,65047,29,2243,Good
Kothrud,Traffic and Transportation Department,October 2024,35684,44,811,Good
Kothrud,Traffic and Transportation Department,November 2024,16990,10,1699,Good
Kothrud,Traffic and Transportation Department,December 2024,94962,38,2499,Good
Kothrud,Environmental Protection Department,January 2024,256714,94,2731,Bad
Kothrud,Environmental Protection Department,February 2024,62370,35,1782,Good
Kothrud,Environmental Protection Department,March 2024,98480,40,2462,Good
Kothrud,Environmental Protection Department,April 2024,11205,5,2241,Good
Kothrud,Environmental Protection Department,May 2024,28275,29,975,Good
Kothrud,Environmental Protection Department,June 2024,20995,19,1105,Good
Kothrud,Environmental Protection Department,July 2024,85376,46,1856,Good
Kothrud,Environmental Protection Department,August 2024,97556,58,1682,Bad
Kothrud,Environmental Protection Department,September 2024,20664,7,2952,Good
Kothrud,Environmental Protection Department,October 2024,30159,27,1117,Good
Kothrud,Environmental Protection Department,November 2024,120120,52,2310,Bad
Kothrud,Environmental Protection Department,December 2024,110580,38,2910,Good
Kothrud,Urban Forestry and Landscaping Department,January 2024,65520,30,2184,Good
Kothrud,Urban Forestry and Landscaping Department,February 2024,86486,83,1042,Bad
Kothrud,Urban Forestry and Landscaping Department,March 2024,56060,20,2803,Good
Kothrud,Urban Forestry and Landscaping Department,April 2024,140030,67,2090,Bad
Kothrud,Urban Forestry and Landscaping Department,May 2024,21035,35,601,Good
Kothrud,Urban Forestry and Landscaping Department,June 2024,142228,74,1922,Bad
Kothrud,Urban Forestry and Landscaping Department,July 2024,135954,83,1638,Bad
Kothrud,Urban Forestry and Landscaping Department,August 2024,124700,50,2494,Bad
Kothrud,Urban Forestry and Landscaping Department,September 2024,77184,96,804,Bad
Kothrud,Urban Forestry and Landscaping Department,October 2024,212510,79,2690,Bad
Kothrud,Urban Forestry and Landscaping Department,November 2024,22593,17,1329,Good
Kothrud,Urban Forestry and Landscaping Department,December 2024,65780,92,715,Bad
Kothrud,Animal Control and Welfare Department,January 2024,41839,43,973,Good
Kothrud,Animal Control and Welfare Department,February 2024,171166,61,2806,Bad
Kothrud,Animal Control and Welfare Department,March 2024,44104,37,1192,Good
Kothrud,Animal Control and Welfare Department,April 2024,111075,75,1481,Bad
Kothrud,Animal Control and Welfare Department,May 2024,97948,94,1042,Bad
Kothrud,Animal Control and Welfare Department,June 2024,163954,98,1673,Bad
Kothrud,Animal Control and Welfare Department,July 2024,187210,97,1930,Bad
Kothrud,Animal Control and Welfare Department,August 2024,67137,23,2919,Good
Kothrud,Animal Control and Welfare Department,September 2024,28938,39,742,Good
Kothrud,Animal Control and Welfare Department,October 2024,186190,86,2165,Bad
Kothrud,Animal Control and Welfare Department,November 2024,12740,20,637,Good
Kothrud,Animal Control and Welfare Department,December 2024,145873,91,1603,Bad
Kothrud,Sewerage and Drainage Department,January 2024,176222,73,2414,Bad
Kothrud,Sewerage and Drainage Department,February 2024,79326,54,1469,Bad
Kothrud,Sewerage and Drainage Department,March 2024,125580,60,2093,Bad
Kothrud,Sewerage and Drainage Department,April 2024,17100,10,1710,Good
Kothrud,Sewerage and Drainage Department,May 2024,157284,68,2313,Bad
Kothrud,Sewerage and Drainage Department,June 2024,120704,41,2944,Good
Kothrud,Sewerage and Drainage Department,July 2024,97092,54,1798,Bad
Kothrud,Sewerage and Drainage Department,August 2024,9120,12,760,Good
Kothrud,Sewerage and Drainage Department,September 2024,17916,6,2986,Good
Kothrud,Sewerage and Drainage Department,October 2024,27720,24,1155,Good
Kothrud,Sewerage and Drainage Department,November 2024,38338,29,1322,Good
Kothrud,Sewerage and Drainage Department,December 2024,107801,43,2507,Good
Viman Nagar,Municipal Waste Management Department,January 2024,200836,74,2714,Bad
Viman Nagar,Municipal Waste Management Department,February 2024,60926,82,743,Bad
Viman Nagar,Municipal Waste Management Department,March 2024,144235,65,2219,Bad
Viman Nagar,Municipal Waste Management Department,April 2024,98936,83,1192,Bad
Viman Nagar,Municipal Waste Management Department,May 2024,157890,57,2770,Bad
Viman Nagar,Municipal Waste Management Department,June 2024,149430,85,1758,Bad
Viman Nagar,Municipal Waste Management Department,July 2024,155077,79,1963,Bad
Viman Nagar,Municipal Waste Management Department,August 2024,109917,69,1593,Bad
Viman Nagar,Municipal Waste Management Department,September 2024,18718,7,2674,Good
Viman Nagar,Municipal Waste Management Department,October 2024,64512,32,2016,Good
Viman Nagar,Municipal Waste Management Department,November 2024,136515,95,1437,Bad
Viman Nagar,Municipal Waste Management Department,December 2024,172480,88,1960,Bad
Viman Nagar,Water Supply and Sanitation Department,January 2024,45752,28,1634,Good
Viman Nagar,Water Supply and Sanitation Department,February 2024,25104,12,2092,Good
Viman Nagar,Water Supply and Sanitation Department,March 2024,11514,6,1919,Good
Viman Nagar,Water Supply and Sanitation Department,April 2024,57684,46,1254,Good
Viman Nagar,Water Supply and Sanitation Department,May 2024,97396,52,1873,Bad
Viman Nagar,Water Supply and Sanitation Department,June 2024,19257,21,917,Good
Viman Nagar,Water Supply and Sanitation Department,July 2024,96807,69,1403,Bad
Viman Nagar,Water Supply and Sanitation Department,August 2024,123072,96,1282,Bad
Viman Nagar,Water Supply and Sanitation Department,September 2024,123037,61,2017,Bad
Viman Nagar,Water Supply and Sanitation Department,October 2024,52122,34,1533,Good
Viman Nagar,Water Supply and Sanitation Department,November 2024,133650,81,1650,Bad
Viman Nagar,Water Supply and Sanitation Department,December 2024,50544,52,972,Bad
Viman Nagar,Electricity Distribution Department,January 2024,21126,14,1509,Good
Viman Nagar,Electricity Distribution Department,February 2024,21372,13,1644,Good
Viman Nagar,Electricity Distribution Department,March 2024,135680,53,2560,Bad
Viman Nagar,Electricity Distribution Department,April 2024,198531,81,2451,Bad
Viman Nagar,Electricity Distribution Department,May 2024,115200,80,1440,Bad
Viman Nagar,Electricity Distribution Department,June 2024,93912,91,1032,Bad
Viman Nagar,Electricity Distribution Department,July 2024,7833,7,1119,Good
Viman Nagar,Electricity Distribution Department,August 2024,109417,77,1421,Bad
Viman Nagar,Electricity Distribution Department,September 2024,23080,10,2308,Good
Viman Nagar,Electricity Distribution Department,October 2024,35360,13,2720,Good
Viman Nagar,Electricity Distribution Department,November 2024,11056,8,1382,Good
Viman Nagar,Electricity Distribution Department,December 2024,11326,14,809,Good
Viman Nagar,Public Works Department,January 2024,63124,43,1468,Good
Viman Nagar,Public Works Department,February 2024,23193,9,2577,Good
Viman Nagar,Public Works Department,March 2024,152448,64,2382,Bad
Viman Nagar,Public Works Department,April 2024,127581,43,2967,Good
Viman Nagar,Public Works Department,May 2024,225302,77,2926,Bad
Viman Nagar,Public Works Department,June 2024,78982,46,1717,Good
Viman Nagar,Public Works Department,July 2024,90240,60,1504,Bad
Viman Nagar,Public Works Department,August 2024,162486,59,2754,Bad
Viman Nagar,Public Works Department,September 2024,191496,79,2424,Bad
Viman Nagar,Public Works Department,October 2024,260850,94,2775,Bad
Viman Nagar,Public Works Department,November 2024,41040,38,1080,Good
Viman Nagar,Public Works Department,December 2024,57525,39,1475,Good
Viman Nagar,Environmental Protection Department,January 2024,19836,29,684,Good
Viman Nagar,Environmental Protection Department,February 2024,121044,44,2751,Good
Viman Nagar,Environmental Protection Department,March 2024,100419,51,1969,Bad
Viman Nagar,Environmental Protection Department,April 2024,31486,13,2422,Good
Viman Nagar,Environmental Protection Department,May 2024,118728,72,1649,Bad
Viman Nagar,Environmental Protection Department,June 2024,248292,99,2508,Bad
Viman Nagar,Environmental Protection Department,July 2024,103194,91,1134,Bad
Viman Nagar,Environmental Protection Department,August 2024,119217,49,2433,Good
Viman Nagar,Environmental Protection Department,September 2024,9135,5,1827,Good
Viman Nagar,Environmental Protection Department,October 2024,162396,78,2082,Bad
Viman Nagar,Environmental Protection Department,November 2024,261072,98,2664,Bad
Viman Nagar,Environmental Protection Department,December 2024,92120,49,1880,Good
Viman Nagar,Traffic and Transportation Department,January 2024,128619,93,1383,Bad
Viman Nagar,Traffic and Transportation Department,February 2024,14658,14,1047,Good
Viman Nagar,Traffic and Transportation Department,March 2024,154456,86,1796,Bad
Viman Nagar,Traffic and Transportation Department,April 2024,26460,9,2940,Good
Viman Nagar,Traffic and Transportation Department,May 2024,21264,8,2658,Good
Viman Nagar,Traffic and Transportation Department,June 2024,106848,56,1908,Bad
Viman Nagar,Traffic and Transportation Department,July 2024,61568,26,2368,Good
Viman Nagar,Traffic and Transportation Department,August 2024,114798,57,2014,Bad
Viman Nagar,Traffic and Transportation Department,September 2024,33489,61,549,Bad
Viman Nagar,Traffic and Transportation Department,October 2024,142464,56,2544,Bad
Viman Nagar,Traffic and Transportation Department,November 2024,11760,7,1680,Good
Viman Nagar,Traffic and Transportation Department,December 2024,11934,17,702,Good
Viman Nagar,Environmental Protection Department,January 2024,190624,92,2072,Bad
Viman Nagar,Environmental Protection Department,February 2024,51678,58,891,Bad
Viman Nagar,Environmental Protection Department,March 2024,60525,45,1345,Good
Viman Nagar,Environmental Protection Department,April 2024,12034,11,1094,Good
Viman Nagar,Environmental Protection Department,May 2024,136582,94,1453,Bad
Viman Nagar,Environmental Protection Department,June 2024,103569,69,1501,Bad
Viman Nagar,Environmental Protection Department,July 2024,198216,72,2753,Bad
Viman Nagar,Environmental Protection Department,August 2024,253330,98,2585,Bad
Viman Nagar,Environmental Protection Department,September 2024,118340,61,1940,Bad
Viman Nagar,Environmental Protection Department,October 2024,61670,70,881,Bad
Viman Nagar,Environmental Protection Department,November 2024,11040,15,736,Good
Viman Nagar,Environmental Protection Department,December 2024,31122,14,2223,Good
Viman Nagar,Urban Forestry and Landscaping Department,January 2024,113760,48,2370,Good
Viman Nagar,Urban Forestry and Landscaping Department,February 2024,227104,94,2416,Bad
Viman Nagar,Urban Forestry and Landscaping Department,March 2024,101084,74,1366,Bad
Viman Nagar,Urban Forestry and Landscaping Department,April 2024,76160,70,1088,Bad
Viman Nagar,Urban Forestry and Landscaping Department,May 2024,81437,37,2201,Good
Viman Nagar,Urban Forestry and Landscaping Department,June 2024,136290,70,1947,Bad
Viman Nagar,Urban Forestry and Landscaping Department,July 2024,36722,14,2623,Good
Viman Nagar,Urban Forestry and Landscaping Department,August 2024,63000,50,1260,Bad
Viman Nagar,Urban Forestry and Landscaping Department,September 2024,20072,8,2509,Good
Viman Nagar,Urban Forestry and Landscaping Department,October 2024,119508,46,2598,Good
Viman Nagar,Urban Forestry and Landscaping Department,November 2024,240768,99,2432,Bad
Viman Nagar,Urban Forestry and Landscaping Department,December 2024,50860,20,2543,Good
Viman Nagar,Animal Control and Welfare Department,January 2024,125409,51,2459,Bad
Viman Nagar,Animal Control and Welfare Department,February 2024,128691,79,1629,Bad
Viman Nagar,Animal Control and Welfare Department,March 2024,37720,46,820,Good
Viman Nagar,Animal Control and Welfare Department,April 2024,57278,26,2203,Good
Viman Nagar,Animal Control and Welfare Department,May 2024,27125,35,775,Good
Viman Nagar,Animal Control and Welfare Department,June 2024,68685,95,723,Bad
Viman Nagar,Animal Control and Welfare Department,July 2024,71995,55,1309,Bad
Viman Nagar,Animal Control and Welfare Department,August 2024,61272,74,828,Bad
Viman Nagar,Animal Control and Welfare Department,September 2024,89866,98,917,Bad
Viman Nagar,Animal Control and Welfare Department,October 2024,72000,72,1000,Bad
Viman Nagar,Animal Control and Welfare Department,November 2024,190086,78,2437,Bad
Viman Nagar,Animal Control and Welfare Department,December 2024,131054,74,1771,Bad
Viman Nagar,Sewerage and Drainage Department,January 2024,203229,81,2509,Bad
Viman Nagar,Sewerage and Drainage Department,February 2024,41944,56,749,Bad
Viman Nagar,Sewerage and Drainage Department,March 2024,122353,49,2497,Good
Viman Nagar,Sewerage and Drainage Department,April 2024,46102,89,518,Bad
Viman Nagar,Sewerage and Drainage Department,May 2024,107994,41,2634,Good
Viman Nagar,Sewerage and Drainage Department,June 2024,117428,62,1894,Bad
Viman Nagar,Sewerage and Drainage Department,July 2024,51171,37,1383,Good
Viman Nagar,Sewerage and Drainage Department,August 2024,50976,59,864,Bad
Viman Nagar,Sewerage and Drainage Department,September 2024,110659,41,2699,Good
Viman Nagar,Sewerage and Drainage Department,October 2024,69250,50,1385,Bad
Viman Nagar,Sewerage and Drainage Department,November 2024,41424,24,1726,Good
Viman Nagar,Sewerage and Drainage Department,December 2024,268956,93,2892,Bad
Bibwewadi,Municipal Waste Management Department,January 2024,67060,35,1916,Good
Bibwewadi,Municipal Waste Management Department,February 2024,26712,28,954,Good
Bibwewadi,Municipal Waste Management Department,March 2024,53523,57,939,Bad
Bibwewadi,Municipal Waste Management Department,April 2024,31680,12,2640,Good
Bibwewadi,Municipal Waste Management Department,May 2024,140058,62,2259,Bad
Bibwewadi,Municipal Waste Management Department,June 2024,22320,16,1395,Good
Bibwewadi,Municipal Waste Management Department,July 2024,174785,65,2689,Bad
Bibwewadi,Municipal Waste Management Department,August 2024,147560,62,2380,Bad
Bibwewadi,Municipal Waste Management Department,September 2024,142664,68,2098,Bad
Bibwewadi,Municipal Waste Management Department,October 2024,123082,82,1501,Bad
Bibwewadi,Municipal Waste Management Department,November 2024,59136,33,1792,Good
Bibwewadi,Municipal Waste Management Department,December 2024,54464,92,592,Bad
Bibwewadi,Water Supply and Sanitation Department,January 2024,26616,12,2218,Good
Bibwewadi,Water Supply and Sanitation Department,February 2024,19992,12,1666,Good
Bibwewadi,Water Supply and Sanitation Department,March 2024,62560,80,782,Bad
Bibwewadi,Water Supply and Sanitation Department,April 2024,146998,67,2194,Bad
Bibwewadi,Water Supply and Sanitation Department,May 2024,56468,76,743,Bad
Bibwewadi,Water Supply and Sanitation Department,June 2024,107464,76,1414,Bad
Bibwewadi,Water Supply and Sanitation Department,July 2024,130662,63,2074,Bad
Bibwewadi,Water Supply and Sanitation Department,August 2024,55440,99,560,Bad
Bibwewadi,Water Supply and Sanitation Department,September 2024,45344,52,872,Bad
Bibwewadi,Water Supply and Sanitation Department,October 2024,147972,57,2596,Bad
Bibwewadi,Water Supply and Sanitation Department,November 2024,146175,75,1949,Bad
Bibwewadi,Water Supply and Sanitation Department,December 2024,75121,43,1747,Good
Bibwewadi,Electricity Distribution Department,January 2024,85432,59,1448,Bad
Bibwewadi,Electricity Distribution Department,February 2024,25520,22,1160,Good
Bibwewadi,Electricity Distribution Department,March 2024,17174,31,554,Good
Bibwewadi,Electricity Distribution Department,April 2024,88000,100,880,Bad
Bibwewadi,Electricity Distribution Department,May 2024,179860,92,1955,Bad
Bibwewadi,Electricity Distribution Department,June 2024,106740,60,1779,Bad
Bibwewadi,Electricity Distribution Department,July 2024,168560,70,2408,Bad
Bibwewadi,Electricity Distribution Department,August 2024,268677,93,2889,Bad
Bibwewadi,Electricity Distribution Department,September 2024,91140,93,980,Bad
Bibwewadi,Electricity Distribution Department,October 2024,8294,13,638,Good
