area,department,month,total_spent,complaints_handled,avg_cost
Hadapsar,Environmental Protection Department,2024-05,193313,79,2447
Hadapsar,Environmental Protection Department,2024-06,69904,34,2056
Hadapsar,Environmental Protection Department,2024-07,97980,69,1420
Hadapsar,Environmental Protection Department,2024-08,142630,85,1678
Hadapsar,Environmental Protection Department,2024-09,268090,95,2822
Hadapsar,Environmental Protection Department,2024-10,165000,66,2500
Hadapsar,Environmental Protection Department,2024-11,255265,95,2687
Hadapsar,Environmental Protection Department,2024-12,27070,10,2707
Hadapsar,Urban Forestry and Landscaping Department,2024-01,34440,42,820
Hadapsar,Urban Forestry and Landscaping Department,2024-02,11952,16,747
Hadapsar,Urban Forestry and Landscaping Department,2024-03,259805,91,2855
Hadapsar,Urban Forestry and Landscaping Department,2024-04,156704,83,1888
Hadapsar,Urban Forestry and Landscaping Department,2024-05,106377,59,1803
Hadapsar,Urban Forestry and Landscaping Department,2024-06,139104,69,2016
Hadapsar,Urban Forestry and Landscaping Department,2024-07,147740,83,1780
Hadapsar,Urban Forestry and Landscaping Department,2024-08,87720,30,2924
Hadapsar,Urban Forestry and Landscaping Department,2024-09,100232,34,2948
Hadapsar,Urban Forestry and Landscaping Department,2024-10,71326,38,1877
Hadapsar,Urban Forestry and Landscaping Department,2024-11,213500,100,2135
Hadapsar,Urban Forestry and Landscaping Department,2024-12,32144,56,574
Hadapsar,Animal Control and Welfare Department,2024-01,53640,24,2235
Hadapsar,Animal Control and Welfare Department,2024-02,231868,98,2366
Hadapsar,Animal Control and Welfare Department,2024-03,164430,58,2835
Hadapsar,Animal Control and Welfare Department,2024-04,77427,63,1229
Hadapsar,Animal Control and Welfare Department,2024-05,76415,85,899
Hadapsar,Animal Control and Welfare Department,2024-06,26576,16,1661
Hadapsar,Animal Control and Welfare Department,2024-07,119250,75,1590
Hadapsar,Animal Control and Welfare Department,2024-08,132900,60,2215
Hadapsar,Animal Control and Welfare Department,2024-09,194370,93,2090
Hadapsar,Animal Control and Welfare Department,2024-10,6965,5,1393
Hadapsar,Animal Control and Welfare Department,2024-11,75816,27,2808
Hadapsar,Animal Control and Welfare Department,2024-12,54180,84,645
Hadapsar,Sewerage and Drainage Department,2024-01,12159,9,1351
Hadapsar,Sewerage and Drainage Department,2024-02,49216,32,1538
Hadapsar,Sewerage and Drainage Department,2024-03,77121,57,1353
Hadapsar,Sewerage and Drainage Department,2024-04,27300,35,780
Hadapsar,Sewerage and Drainage Department,2024-05,22284,36,619
Hadapsar,Sewerage and Drainage Department,2024-06,40392,66,612
Hadapsar,Sewerage and Drainage Department,2024-07,99084,92,1077
Hadapsar,Sewerage and Drainage Department,2024-08,87208,88,991
Hadapsar,Sewerage and Drainage Department,2024-09,121132,44,2753
Hadapsar,Sewerage and Drainage Department,2024-10,57918,21,2758
Hadapsar,Sewerage and Drainage Department,2024-11,27672,24,1153
Hadapsar,Sewerage and Drainage Department,2024-12,203098,89,2282
Kothrud,Municipal Waste Management Department,2024-01,147190,82,1795
Kothrud,Municipal Waste Management Department,2024-02,56780,20,2839
Kothrud,Municipal Waste Management Department,2024-03,42381,51,831
Kothrud,Municipal Waste Management Department,2024-04,12468,6,2078
Kothrud,Municipal Waste Management Department,2024-05,92738,89,1042
Kothrud,Municipal Waste Management Department,2024-06,123486,66,1871
Kothrud,Municipal Waste Management Department,2024-07,161786,82,1973
Kothrud,Municipal Waste Management Department,2024-08,13700,20,685
Kothrud,Municipal Waste Management Department,2024-09,90528,82,1104
Kothrud,Municipal Waste Management Department,2024-10,264592,92,2876
Kothrud,Municipal Waste Management Department,2024-11,238572,94,2538
Kothrud,Municipal Waste Management Department,2024-12,78058,62,1259
Kothrud,Water Supply and Sanitation Department,2024-01,34450,53,650
Kothrud,Water Supply and Sanitation Department,2024-02,183744,87,2112
Kothrud,Water Supply and Sanitation Department,2024-03,42300,15,2820
Kothrud,Water Supply and Sanitation Department,2024-04,79616,32,2488
Kothrud,Water Supply and Sanitation Department,2024-05,40052,19,2108
Kothrud,Water Supply and Sanitation Department,2024-06,83898,59,1422
Kothrud,Water Supply and Sanitation Department,2024-07,183951,81,2271
Kothrud,Water Supply and Sanitation Department,2024-08,175020,60,2917
Kothrud,Water Supply and Sanitation Department,2024-09,100856,56,1801
Kothrud,Water Supply and Sanitation Department,2024-10,32160,48,670
Kothrud,Water Supply and Sanitation Department,2024-11,95292,36,2647
Kothrud,Water Supply and Sanitation Department,2024-12,28578,33,866
Kothrud,Electricity Distribution Department,2024-01,73880,40,1847
Kothrud,Electricity Distribution Department,2024-02,77280,92,840
Kothrud,Electricity Distribution Department,2024-03,107848,52,2074
Kothrud,Electricity Distribution Department,2024-04,108528,56,1938
Kothrud,Electricity Distribution Department,2024-05,27040,26,1040
Kothrud,Electricity Distribution Department,2024-06,95715,45,2127
Kothrud,Electricity Distribution Department,2024-07,87750,78,1125
Kothrud,Electricity Distribution Department,2024-08,155561,71,2191
Kothrud,Electricity Distribution Department,2024-09,43731,43,1017
Kothrud,Electricity Distribution Department,2024-10,93500,50,1870
Kothrud,Electricity Distribution Department,2024-11,59625,45,1325
Kothrud,Electricity Distribution Department,2024-12,143150,70,2045
Kothrud,Public Works Department,2024-01,71630,65,1102
Kothrud,Public Works Department,2024-02,103806,73,1422
Kothrud,Public Works Department,2024-03,28272,16,1767
Kothrud,Public Works Department,2024-04,118487,47,2521
Kothrud,Public Works Department,2024-05,54740,23,2380
Kothrud,Public Works Department,2024-06,20325,15,1355
Kothrud,Public Works Department,2024-07,33984,16,2124
Kothrud,Public Works Department,2024-08,24435,45,543
Kothrud,Public Works Department,2024-09,173320,70,2476
Kothrud,Public Works Department,2024-10,34762,26,1337
Kothrud,Public Works Department,2024-11,32496,16,2031
Kothrud,Public Works Department,2024-12,180246,66,2731
Kothrud,Environmental Protection Department,2024-01,117176,97,1208
Kothrud,Environmental Protection Department,2024-02,240963,93,2591
Kothrud,Environmental Protection Department,2024-03,56007,21,2667
Kothrud,Environmental Protection Department,2024-04,116832,96,1217
Kothrud,Environmental Protection Department,2024-05,55748,44,1267
Kothrud,Environmental Protection Department,2024-06,77841,93,837
Kothrud,Environmental Protection Department,2024-07,199995,67,2985
Kothrud,Environmental Protection Department,2024-08,71460,45,1588
Kothrud,Environmental Protection Department,2024-09,16680,20,834
Kothrud,Environmental Protection Department,2024-10,108570,66,1645
Kothrud,Environmental Protection Department,2024-11,162652,74,2198
Kothrud,Environmental Protection Department,2024-12,140200,100,1402
Kothrud,Traffic and Transportation Department,2024-01,20471,11,1861
Kothrud,Traffic and Transportation Department,2024-02,9256,8,1157
Kothrud,Traffic and Transportation Department,2024-03,224688,93,2416
Kothrud,Traffic and Transportation Department,2024-04,95184,48,1983
Kothrud,Traffic and Transportation Department,2024-05,33464,47,712
Kothrud,Traffic and Transportation Department,2024-06,132000,88,1500
Kothrud,Traffic and Transportation Department,2024-07,107200,100,1072
Kothrud,Traffic and Transportation Department,2024-08,126378,59,2142
Kothrud,Traffic and Transportation Department,2024-09,65047,29,2243
Kothrud,Traffic and Transportation Department,2024-10,35684,44,811
Kothrud,Traffic and Transportation Department,2024-11,16990,10,1699
Kothrud,Traffic and Transportation Department,2024-12,94962,38,2499
Kothrud,Environmental Protection Department,2024-01,256714,94,2731
Kothrud,Environmental Protection Department,2024-02,62370,35,1782
Kothrud,Environmental Protection Department,2024-03,98480,40,2462
Kothrud,Environmental Protection Department,2024-04,11205,5,2241
Kothrud,Environmental Protection Department,2024-05,28275,29,975
Kothrud,Environmental Protection Department,2024-06,20995,19,1105
Kothrud,Environmental Protection Department,2024-07,85376,46,1856
Kothrud,Environmental Protection Department,2024-08,97556,58,1682
Kothrud,Environmental Protection Department,2024-09,20664,7,2952
Kothrud,Environmental Protection Department,2024-10,30159,27,1117
Kothrud,Environmental Protection Department,2024-11,120120,52,2310
Kothrud,Environmental Protection Department,2024-12,110580,38,2910
Kothrud,Urban Forestry and Landscaping Department,2024-01,65520,30,2184
Kothrud,Urban Forestry and Landscaping Department,2024-02,86486,83,1042
Kothrud,Urban Forestry and Landscaping Department,2024-03,56060,20,2803
Kothrud,Urban Forestry and Landscaping Department,2024-04,140030,67,2090
Kothrud,Urban Forestry and Landscaping Department,2024-05,21035,35,601
Kothrud,Urban Forestry and Landscaping Department,2024-06,142228,74,1922
Kothrud,Urban Forestry and Landscaping Department,2024-07,135954,83,1638
Kothrud,Urban Forestry and Landscaping Department,2024-08,124700,50,2494
Kothrud,Urban Forestry and Landscaping Department,2024-09,77184,96,804
Kothrud,Urban Forestry and Landscaping Department,2024-10,212510,79,2690
Kothrud,Urban Forestry and Landscaping Department,2024-11,22593,17,1329
Kothrud,Urban Forestry and Landscaping Department,2024-12,65780,92,715
Kothrud,Animal Control and Welfare Department,2024-01,41839,43,973
Kothrud,Animal Control and Welfare Department,2024-02,171166,61,2806
Kothrud,Animal Control and Welfare Department,2024-03,44104,37,1192
Kothrud,Animal Control and Welfare Department,2024-04,111075,75,1481
Kothrud,Animal Control and Welfare Department,2024-05,97948,94,1042
Kothrud,Animal Control and Welfare Department,2024-06,163954,98,1673
Kothrud,Animal Control and Welfare Department,2024-07,187210,97,1930
Kothrud,Animal Control and Welfare Department,2024-08,67137,23,2919
Kothrud,Animal Control and Welfare Department,2024-09,28938,39,742
Kothrud,Animal Control and Welfare Department,2024-10,186190,86,2165
Kothrud,Animal Control and Welfare Department,2024-11,12740,20,637
Kothrud,Animal Control and Welfare Department,2024-12,145873,91,1603
Kothrud,Sewerage and Drainage Department,2024-01,176222,73,2414
Kothrud,Sewerage and Drainage Department,2024-02,79326,54,1469
Kothrud,Sewerage and Drainage Department,2024-03,125580,60,2093
Kothrud,Sewerage and Drainage Department,2024-04,17100,10,1710
Kothrud,Sewerage and Drainage Department,2024-05,157284,68,2313
Kothrud,Sewerage and Drainage Department,2024-06,120704,41,2944
Kothrud,Sewerage and Drainage Department,2024-07,97092,54,1798
Kothrud,Sewerage and Drainage Department,2024-08,9120,12,760
Kothrud,Sewerage and Drainage Department,2024-09,17916,6,2986
Kothrud,Sewerage and Drainage Department,2024-10,27720,24,1155
Kothrud,Sewerage and Drainage Department,2024-11,38338,29,1322
Kothrud,Sewerage and Drainage Department,2024-12,107801,43,2507
Viman Nagar,Municipal Waste Management Department,2024-01,200836,74,2714
Viman Nagar,Municipal Waste Management Department,2024-02,60926,82,743
Viman Nagar,Municipal Waste Management Department,2024-03,144235,65,2219
Viman Nagar,Municipal Waste Management Department,2024-04,98936,83,1192
Viman Nagar,Municipal Waste Management Department,2024-05,157890,57,2770
Viman Nagar,Municipal Waste Management Department,2024-06,149430,85,1758
Viman Nagar,Municipal Waste Management Department,2024-07,155077,79,1963
Viman Nagar,Municipal Waste Management Department,2024-08,109917,69,1593
Viman Nagar,Municipal Waste Management Department,2024-09,18718,7,2674
Viman Nagar,Municipal Waste Management Department,2024-10,64512,32,2016
Viman Nagar,Municipal Waste Management Department,2024-11,136515,95,1437
Viman Nagar,Municipal Waste Management Department,2024-12,172480,88,1960
Viman Nagar,Water Supply and Sanitation Department,2024-01,45752,28,1634
Viman Nagar,Water Supply and Sanitation Department,2024-02,25104,12,2092
Viman Nagar,Water Supply and Sanitation Department,2024-03,11514,6,1919
Viman Nagar,Water Supply and Sanitation Department,2024-04,57684,46,1254
Viman Nagar,Water Supply and Sanitation Department,2024-05,97396,52,1873
Viman Nagar,Water Supply and Sanitation Department,2024-06,19257,21,917
Viman Nagar,Water Supply and Sanitation Department,2024-07,96807,69,1403
Viman Nagar,Water Supply and Sanitation Department,2024-08,123072,96,1282
Viman Nagar,Water Supply and Sanitation Department,2024-09,123037,61,2017
Viman Nagar,Water Supply and Sanitation Department,2024-10,52122,34,1533
Viman Nagar,Water Supply and Sanitation Department,2024-11,133650,81,1650
Viman Nagar,Water Supply and Sanitation Department,2024-12,50544,52,972
Viman Nagar,Electricity Distribution Department,2024-01,21126,14,1509
Viman Nagar,Electricity Distribution Department,2024-02,21372,13,1644
Viman Nagar,Electricity Distribution Department,2024-03,135680,53,2560
Viman Nagar,Electricity Distribution Department,2024-04,198531,81,2451
Viman Nagar,Electricity Distribution Department,2024-05,115200,80,1440
Viman Nagar,Electricity Distribution Department,2024-06,93912,91,1032
Viman Nagar,Electricity Distribution Department,2024-07,7833,7,1119
Viman Nagar,Electricity Distribution Department,2024-08,109417,77,1421
Viman Nagar,Electricity Distribution Department,2024-09,23080,10,2308
Viman Nagar,Electricity Distribution Department,2024-10,35360,13,2720
Viman Nagar,Electricity Distribution Department,2024-11,11056,8,1382
Viman Nagar,Electricity Distribution Department,2024-12,11326,14,809
Viman Nagar,Public Works Department,2024-01,63124,43,1468
Viman Nagar,Public Works Department,2024-02,23193,9,2577
Viman Nagar,Public Works Department,2024-03,152448,64,2382
Viman Nagar,Public Works Department,2024-04,127581,43,2967
Viman Nagar,Public Works Department,2024-05,225302,77,2926
Viman Nagar,Public Works Department,2024-06,78982,46,1717
Viman Nagar,Public Works Department,2024-07,90240,60,1504
Viman Nagar,Public Works Department,2024-08,162486,59,2754
Viman Nagar,Public Works Department,2024-09,191496,79,2424
Viman Nagar,Public Works Department,2024-10,260850,94,2775
Viman Nagar,Public Works Department,2024-11,41040,38,1080
Viman Nagar,Public Works Department,2024-12,57525,39,1475
Viman Nagar,Environmental Protection Department,2024-01,19836,29,684
Viman Nagar,Environmental Protection Department,2024-02,121044,44,2751
Viman Nagar,Environmental Protection Department,2024-03,100419,51,1969
Viman Nagar,Environmental Protection Department,2024-04,31486,13,2422
Viman Nagar,Environmental Protection Department,2024-05,118728,72,1649
Viman Nagar,Environmental Protection Department,2024-06,248292,99,2508
Viman Nagar,Environmental Protection Department,2024-07,103194,91,1134
Viman Nagar,Environmental Protection Department,2024-08,119217,49,2433
Viman Nagar,Environmental Protection Department,2024-09,9135,5,1827
Viman Nagar,Environmental Protection Department,2024-10,162396,78,2082
Viman Nagar,Environmental Protection Department,2024-11,261072,98,2664
Viman Nagar,Environmental Protection Department,2024-12,92120,49,1880
Viman Nagar,Traffic and Transportation Department,2024-01,128619,93,1383
Viman Nagar,Traffic and Transportation Department,2024-02,14658,14,1047
Viman Nagar,Traffic and Transportation Department,2024-03,154456,86,1796
Viman Nagar,Traffic and Transportation Department,2024-04,26460,9,2940
Viman Nagar,Traffic and Transportation Department,2024-05,21264,8,2658
Viman Nagar,Traffic and Transportation Department,2024-06,106848,56,1908
Viman Nagar,Traffic and Transportation Department,2024-07,61568,26,2368
Viman Nagar,Traffic and Transportation Department,2024-08,114798,57,2014
Viman Nagar,Traffic and Transportation Department,2024-09,33489,61,549
Viman Nagar,Traffic and Transportation Department,2024-10,142464,56,2544
Viman Nagar,Traffic and Transportation Department,2024-11,11760,7,1680
Viman Nagar,Traffic and Transportation Department,2024-12,11934,17,702
Viman Nagar,Environmental Protection Department,2024-01,190624,92,2072
Viman Nagar,Environmental Protection Department,2024-02,51678,58,891
Viman Nagar,Environmental Protection Department,2024-03,60525,45,1345
Viman Nagar,Environmental Protection Department,2024-04,12034,11,1094
Viman Nagar,Environmental Protection Department,2024-05,136582,94,1453
Viman Nagar,Environmental Protection Department,2024-06,103569,69,1501
Viman Nagar,Environmental Protection Department,2024-07,198216,72,2753
Viman Nagar,Environmental Protection Department,2024-08,253330,98,2585
Viman Nagar,Environmental Protection Department,2024-09,118340,61,1940
Viman Nagar,Environmental Protection Department,2024-10,61670,70,881
Viman Nagar,Environmental Protection Department,2024-11,11040,15,736
Viman Nagar,Environmental Protection Department,2024-12,31122,14,2223
Viman Nagar,Urban Forestry and Landscaping Department,2024-01,113760,48,2370
Viman Nagar,Urban Forestry and Landscaping Department,2024-02,227104,94,2416
Viman Nagar,Urban Forestry and Landscaping Department,2024-03,101084,74,1366
Viman Nagar,Urban Forestry and Landscaping Department,2024-04,76160,70,1088
Viman Nagar,Urban Forestry and Landscaping Department,2024-05,81437,37,2201
Viman Nagar,Urban Forestry and Landscaping Department,2024-06,136290,70,1947
Viman Nagar,Urban Forestry and Landscaping Department,2024-07,36722,14,2623
Viman Nagar,Urban Forestry and Landscaping Department,2024-08,63000,50,1260
Viman Nagar,Urban Forestry and Landscaping Department,2024-09,20072,8,2509
Viman Nagar,Urban Forestry and Landscaping Department,2024-10,119508,46,2598
Viman Nagar,Urban Forestry and Landscaping Department,2024-11,240768,99,2432
Viman Nagar,Urban Forestry and Landscaping Department,2024-12,50860,20,2543
Viman Nagar,Animal Control and Welfare Department,2024-01,125409,51,2459
Viman Nagar,Animal Control and Welfare Department,2024-02,128691,79,1629
Viman Nagar,Animal Control and Welfare Department,2024-03,37720,46,820
Viman Nagar,Animal Control and Welfare Department,2024-04,57278,26,2203
Viman Nagar,Animal Control and Welfare Department,2024-05,27125,35,775
Viman Nagar,Animal Control and Welfare Department,2024-06,68685,95,723
Viman Nagar,Animal Control and Welfare Department,2024-07,71995,55,1309
Viman Nagar,Animal Control and Welfare Department,2024-08,61272,74,828
Viman Nagar,Animal Control and Welfare Department,2024-09,89866,98,917
Viman Nagar,Animal Control and Welfare Department,2024-10,72000,72,1000
Viman Nagar,Animal Control and Welfare Department,2024-11,190086,78,2437
Viman Nagar,Animal Control and Welfare Department,2024-12,131054,74,1771
Viman Nagar,Sewerage and Drainage Department,2024-01,203229,81,2509
Viman Nagar,Sewerage and Drainage Department,2024-02,41944,56,749
Viman Nagar,Sewerage and Drainage Department,2024-03,122353,49,2497
Viman Nagar,Sewerage and Drainage Department,2024-04,46102,89,518
Viman Nagar,Sewerage and Drainage Department,2024-05,107994,41,2634
Viman Nagar,Sewerage and Drainage Department,2024-06,117428,62,1894
Viman Nagar,Sewerage and Drainage Department,2024-07,51171,37,1383
Viman Nagar,Sewerage and Drainage Department,2024-08,50976,59,864
Viman Nagar,Sewerage and Drainage Department,2024-09,110659,41,2699
Viman Nagar,Sewerage and Drainage Department,2024-10,69250,50,1385
Viman Nagar,Sewerage and Drainage Department,2024-11,41424,24,1726
Viman Nagar,Sewerage and Drainage Department,2024-12,268956,93,2892
Bibwewadi,Municipal Waste Management Department,2024-01,67060,35,1916
Bibwewadi,Municipal Waste Management Department,2024-02,26712,28,954
Bibwewadi,Municipal Waste Management Department,2024-03,53523,57,939
Bibwewadi,Municipal Waste Management Department,2024-04,31680,12,2640
Bibwewadi,Municipal Waste Management Department,2024-05,140058,62,2259
Bibwewadi,Municipal Waste Management Department,2024-06,22320,16,1395
Bibwewadi,Municipal Waste Management Department,2024-07,174785,65,2689
Bibwewadi,Municipal Waste Management Department,2024-08,147560,62,2380
Bibwewadi,Municipal Waste Management Department,2024-09,142664,68,2098
Bibwewadi,Municipal Waste Management Department,2024-10,123082,82,1501
Bibwewadi,Municipal Waste Management Department,2024-11,59136,33,1792
Bibwewadi,Municipal Waste Management Department,2024-12,54464,92,592
Bibwewadi,Water Supply and Sanitation Department,2024-01,26616,12,2218
Bibwewadi,Water Supply and Sanitation Department,2024-02,19992,12,1666
Bibwewadi,Water Supply and Sanitation Department,2024-03,62560,80,782
Bibwewadi,Water Supply and Sanitation Department,2024-04,146998,67,2194
Bibwewadi,Water Supply and Sanitation Department,2024-05,56468,76,743
Bibwewadi,Water Supply and Sanitation Department,2024-06,107464,76,1414
Bibwewadi,Water Supply and Sanitation Department,2024-07,130662,63,2074
Bibwewadi,Water Supply and Sanitation Department,2024-08,55440,99,560
Bibwewadi,Water Supply and Sanitation Department,2024-09,45344,52,872
Bibwewadi,Water Supply and Sanitation Department,2024-10,147972,57,2596
Bibwewadi,Water Supply and Sanitation Department,2024-11,146175,75,1949
Bibwewadi,Water Supply and Sanitation Department,2024-12,75121,43,1747
Bibwewadi,Electricity Distribution Department,2024-01,85432,59,1448
Bibwewadi,Electricity Distribution Department,2024-02,25520,22,1160
Bibwewadi,Electricity Distribution Department,2024-03,17174,31,554
Bibwewadi,Electricity Distribution Department,2024-04,88000,100,880
Bibwewadi,Electricity Distribution Department,2024-05,179860,92,1955
Bibwewadi,Electricity Distribution Department,2024-06,106740,60,1779
Bibwewadi,Electricity Distribution Department,2024-07,168560,70,2408
Bibwewadi,Electricity Distribution Department,2024-08,268677,93,2889
Bibwewadi,Electricity Distribution Department,2024-09,91140,93,980
Bibwewadi,Electricity Distribution Department,2024-10,8294,13,638
Bibwewadi,Electricity Distribution Department,2024-11,40014,57,702
Bibwewadi,Electricity Distribution Department,2024-12,54162,51,1062
Bibwewadi,Public Works Department,2024-01,207405,99,2095
Bibwewadi,Public Works Department,2024-02,206476,82,2518
Bibwewadi,Public Works Department,2024-03,46110,29,1590
Bibwewadi,Public Works Department,2024-04,203949,93,2193
Bibwewadi,Public Works Department,2024-05,116130,42,2765
Bibwewadi,Public Works Department,2024-06,92016,36,2556
Bibwewadi,Public Works Department,2024-07,113694,42,2707
Bibwewadi,Public Works Department,2024-08,175168,92,1904
Bibwewadi,Public Works Department,2024-09,68352,24,2848
Bibwewadi,Public Works Department,2024-10,153468,87,1764
Bibwewadi,Public Works Department,2024-11,73060,65,1124
Bibwewadi,Public Works Department,2024-12,108034,38,2843
Bibwewadi,Environmental Protection Department,2024-01,101736,36,2826
Bibwewadi,Environmental Protection Department,2024-02,81082,71,1142
Bibwewadi,Environmental Protection Department,2024-03,94255,35,2693
Bibwewadi,Environmental Protection Department,2024-04,8575,7,1225
Bibwewadi,Environmental Protection Department,2024-05,61544,98,628
Bibwewadi,Environmental Protection Department,2024-06,58800,49,1200
Bibwewadi,Environmental Protection Department,2024-07,51498,18,2861
Bibwewadi,Environmental Protection Department,2024-08,86317,59,1463
Bibwewadi,Environmental Protection Department,2024-09,49946,26,1921
Bibwewadi,Environmental Protection Department,2024-10,17550,30,585
Bibwewadi,Environmental Protection Department,2024-11,233050,79,2950
Bibwewadi,Environmental Protection Department,2024-12,211935,71,2985
Bibwewadi,Traffic and Transportation Department,2024-01,165726,99,1674
Bibwewadi,Traffic and Transportation Department,2024-02,26936,26,1036
Bibwewadi,Traffic and Transportation Department,2024-03,12573,11,1143
Bibwewadi,Traffic and Transportation Department,2024-04,33865,13,2605
Bibwewadi,Traffic and Transportation Department,2024-05,194694,74,2631
Bibwewadi,Traffic and Transportation Department,2024-06,101946,78,1307
Bibwewadi,Traffic and Transportation Department,2024-07,81804,68,1203
Bibwewadi,Traffic and Transportation Department,2024-08,219355,95,2309
Bibwewadi,Traffic and Transportation Department,2024-09,141267,93,1519
Bibwewadi,Traffic and Transportation Department,2024-10,156222,99,1578
Bibwewadi,Traffic and Transportation Department,2024-11,171633,77,2229
Bibwewadi,Traffic and Transportation Department,2024-12,100358,38,2641
Bibwewadi,Environmental Protection Department,2024-01,26496,24,1104
Bibwewadi,Environmental Protection Department,2024-02,114896,86,1336
Bibwewadi,Environmental Protection Department,2024-03,22878,18,1271
Bibwewadi,Environmental Protection Department,2024-04,189810,90,2109
Bibwewadi,Environmental Protection Department,2024-05,123133,59,2087
Bibwewadi,Environmental Protection Department,2024-06,211876,98,2162
Bibwewadi,Environmental Protection Department,2024-07,28528,16,1783
Bibwewadi,Environmental Protection Department,2024-08,97440,56,1740
