area,department,month,total_spent,complaints_handled,avg_cost,performance,performance_percentage
Hadapsar,Water Supply and Sanitation Department,Oct-24,34125,13,2625,Good,0.0380952380952381
Hadapsar,Water Supply and Sanitation Department,Nov-24,144144,63,2288,Bad,0.043706293706293704
Hadapsar,Water Supply and Sanitation Department,Dec-24,76024,52,1462,Bad,0.06839945280437756
Hadapsar,Electricity Distribution Department,Jan-24,35768,34,1052,Good,0.09505703422053231
Hadapsar,Electricity Distribution Department,Feb-24,83404,29,2876,Good,0.03477051460361613
Hadapsar,Electricity Distribution Department,Mar-24,134385,85,1581,Bad,0.06325110689437065
Hadapsar,Electricity Distribution Department,Apr-24,70594,47,1502,Good,0.06657789613848203
Hadapsar,Electricity Distribution Department,May-24,150258,79,1902,Bad,0.052576235541535225
Hadapsar,Electricity Distribution Department,Jun-24,63713,29,2197,Good,0.04551661356395084
Hadapsar,Electricity Distribution Department,Jul-24,87550,34,2575,Good,0.03883495145631068
Hadapsar,Electricity Distribution Department,Aug-24,148491,63,2357,Bad,0.04242681374628765
Hadapsar,Electricity Distribution Department,Sep-24,57085,49,1165,Good,0.08583690987124463
Hadapsar,Electricity Distribution Department,Oct-24,55944,36,1554,Good,0.06435006435006435
Hadapsar,Electricity Distribution Department,Nov-24,85756,44,1949,Good,0.0513083632632119
Hadapsar,Electricity Distribution Department,Dec-24,87040,34,2560,Good,0.0390625
Hadapsar,Public Works Department,Jan-24,69520,88,790,Bad,0.12658227848101267
Hadapsar,Public Works Department,Feb-24,32616,24,1359,Good,0.07358351729212656
Hadapsar,Public Works Department,Mar-24,92906,41,2266,Good,0.0441306266548985
Hadapsar,Public Works Department,Apr-24,121770,41,2970,Good,0.03367003367003367
Hadapsar,Public Works Department,May-24,13915,11,1265,Good,0.07905138339920949
Hadapsar,Public Works Department,Jun-24,62296,52,1198,Bad,0.08347245409015025
Hadapsar,Public Works Department,Jul-24,124173,81,1533,Bad,0.06523157208088715
Hadapsar,Public Works Department,Aug-24,56712,68,834,Bad,0.1199040767386091
Hadapsar,Public Works Department,Sep-24,158311,53,2987,Bad,0.03347840642785404
Hadapsar,Public Works Department,Oct-24,43740,54,810,Bad,0.12345679012345678
Hadapsar,Public Works Department,Nov-24,35550,30,1185,Good,0.08438818565400844
Hadapsar,Public Works Department,Dec-24,182942,82,2231,Bad,0.04482294935006724
Hadapsar,Environmental Protection Department,Jan-24,183547,91,2017,Bad,0.04957858205255329
Hadapsar,Environmental Protection Department,Feb-24,88165,55,1603,Bad,0.06238303181534623
Hadapsar,Environmental Protection Department,Mar-24,72192,48,1504,Good,0.06648936170212766
Hadapsar,Environmental Protection Department,Apr-24,114802,61,1882,Bad,0.053134962805526036
Hadapsar,Environmental Protection Department,May-24,34510,58,595,Bad,0.16806722689075632
Hadapsar,Environmental Protection Department,Jun-24,17430,30,581,Good,0.17211703958691912
Hadapsar,Environmental Protection Department,Jul-24,45144,36,1254,Good,0.07974481658692185
Hadapsar,Environmental Protection Department,Aug-24,44239,41,1079,Good,0.09267840593141798
Hadapsar,Environmental Protection Department,Sep-24,102858,79,1302,Bad,0.07680491551459294
Hadapsar,Environmental Protection Department,Oct-24,9621,9,1069,Good,0.09354536950420954
Hadapsar,Environmental Protection Department,Nov-24,37333,37,1009,Good,0.09910802775024777
Hadapsar,Environmental Protection Department,Dec-24,232518,78,2981,Bad,0.03354579000335458
Hadapsar,Traffic and Transportation Department,Jan-24,40250,46,875,Good,0.1142857142857143
Hadapsar,Traffic and Transportation Department,Feb-24,16380,7,2340,Good,0.042735042735042736
Hadapsar,Traffic and Transportation Department,Mar-24,14436,9,1604,Good,0.062344139650872814
Hadapsar,Traffic and Transportation Department,Apr-24,162640,76,2140,Bad,0.04672897196261683
Hadapsar,Traffic and Transportation Department,May-24,246993,87,2839,Bad,0.03522367030644593
Hadapsar,Traffic and Transportation Department,Jun-24,42200,40,1055,Good,0.09478672985781991
Hadapsar,Traffic and Transportation Department,Jul-24,22824,36,634,Good,0.15772870662460567
Hadapsar,Traffic and Transportation Department,Aug-24,81877,41,1997,Good,0.050075112669003496
Hadapsar,Traffic and Transportation Department,Sep-24,77216,32,2413,Good,0.04144218814753419
Hadapsar,Traffic and Transportation Department,Oct-24,17960,10,1796,Good,0.05567928730512249
Hadapsar,Traffic and Transportation Department,Nov-24,6620,5,1324,Good,0.0755287009063444
Hadapsar,Traffic and Transportation Department,Dec-24,195605,95,2059,Bad,0.04856726566294317
Hadapsar,Environmental Protection Department,Jan-24,84286,74,1139,Bad,0.08779631255487269
Hadapsar,Environmental Protection Department,Feb-24,72666,99,734,Bad,0.13623978201634876
Hadapsar,Environmental Protection Department,Mar-24,137860,61,2260,Bad,0.04424778761061947
Hadapsar,Environmental Protection Department,Apr-24,119124,54,2206,Bad,0.04533091568449683
Hadapsar,Environmental Protection Department,May-24,193313,79,2447,Bad,0.04086636697997548
Hadapsar,Environmental Protection Department,Jun-24,69904,34,2056,Good,0.048638132295719845
Hadapsar,Environmental Protection Department,Jul-24,97980,69,1420,Bad,0.07042253521126761
Hadapsar,Environmental Protection Department,Aug-24,142630,85,1678,Bad,0.05959475566150178
Hadapsar,Environmental Protection Department,Sep-24,268090,95,2822,Bad,0.03543586109142452
Hadapsar,Environmental Protection Department,Oct-24,165000,66,2500,Bad,0.04
Hadapsar,Environmental Protection Department,Nov-24,255265,95,2687,Bad,0.037216226274655755
Hadapsar,Environmental Protection Department,Dec-24,27070,10,2707,Good,0.03694126339120798
Hadapsar,Urban Forestry and Landscaping Department,Jan-24,34440,42,820,Good,0.12195121951219512
Hadapsar,Urban Forestry and Landscaping Department,Feb-24,11952,16,747,Good,0.13386880856760375
Hadapsar,Urban Forestry and Landscaping Department,Mar-24,259805,91,2855,Bad,0.03502626970227671
Hadapsar,Urban Forestry and Landscaping Department,Apr-24,156704,83,1888,Bad,0.05296610169491525
Hadapsar,Urban Forestry and Landscaping Department,May-24,106377,59,1803,Bad,0.055463117027176934
Hadapsar,Urban Forestry and Landscaping Department,Jun-24,139104,69,2016,Bad,0.0496031746031746
Hadapsar,Urban Forestry and Landscaping Department,Jul-24,147740,83,1780,Bad,0.05617977528089888
Hadapsar,Urban Forestry and Landscaping Department,Aug-24,87720,30,2924,Good,0.03419972640218878
Hadapsar,Urban Forestry and Landscaping Department,Sep-24,100232,34,2948,Good,0.033921302578018994
Hadapsar,Urban Forestry and Landscaping Department,Oct-24,71326,38,1877,Good,0.05327650506126798
Hadapsar,Urban Forestry and Landscaping Department,Nov-24,213500,100,2135,Bad,0.046838407494145196
Hadapsar,Urban Forestry and Landscaping Department,Dec-24,32144,56,574,Bad,0.17421602787456447
Hadapsar,Animal Control and Welfare Department,Jan-24,53640,24,2235,Good,0.0447427293064877
Hadapsar,Animal Control and Welfare Department,Feb-24,231868,98,2366,Bad,0.042265426880811495
Hadapsar,Animal Control and Welfare Department,Mar-24,164430,58,2835,Bad,0.035273368606701945
Hadapsar,Animal Control and Welfare Department,Apr-24,77427,63,1229,Bad,0.08136696501220504
Hadapsar,Animal Control and Welfare Department,May-24,76415,85,899,Bad,0.11123470522803114
Hadapsar,Animal Control and Welfare Department,Jun-24,26576,16,1661,Good,0.060204695966285374
Hadapsar,Animal Control and Welfare Department,Jul-24,119250,75,1590,Bad,0.06289308176100629
Hadapsar,Animal Control and Welfare Department,Aug-24,132900,60,2215,Bad,0.04514672686230248
Hadapsar,Animal Control and Welfare Department,Sep-24,194370,93,2090,Bad,0.04784688995215311
Hadapsar,Animal Control and Welfare Department,Oct-24,6965,5,1393,Good,0.07178750897343862
Hadapsar,Animal Control and Welfare Department,Nov-24,75816,27,2808,Good,0.03561253561253561
Hadapsar,Animal Control and Welfare Department,Dec-24,54180,84,645,Bad,0.15503875968992248
Hadapsar,Sewerage and Drainage Department,Jan-24,12159,9,1351,Good,0.07401924500370095
Hadapsar,Sewerage and Drainage Department,Feb-24,49216,32,1538,Good,0.06501950585175553
Hadapsar,Sewerage and Drainage Department,Mar-24,77121,57,1353,Bad,0.07390983000739099
Hadapsar,Sewerage and Drainage Department,Apr-24,27300,35,780,Good,0.1282051282051282
Hadapsar,Sewerage and Drainage Department,May-24,22284,36,619,Good,0.16155088852988692
Hadapsar,Sewerage and Drainage Department,Jun-24,40392,66,612,Bad,0.16339869281045752
Hadapsar,Sewerage and Drainage Department,Jul-24,99084,92,1077,Bad,0.09285051067780872
Hadapsar,Sewerage and Drainage Department,Aug-24,87208,88,991,Bad,0.10090817356205853
Hadapsar,Sewerage and Drainage Department,Sep-24,121132,44,2753,Good,0.03632401017072285
Hadapsar,Sewerage and Drainage Department,Oct-24,57918,21,2758,Good,0.03625815808556925
Hadapsar,Sewerage and Drainage Department,Nov-24,27672,24,1153,Good,0.08673026886383348
Hadapsar,Sewerage and Drainage Department,Dec-24,203098,89,2282,Bad,0.04382120946538125
Kothrud,Municipal Waste Management Department,Jan-24,147190,82,1795,Bad,0.05571030640668524
Kothrud,Municipal Waste Management Department,Feb-24,56780,20,2839,Good,0.03522367030644593
Kothrud,Municipal Waste Management Department,Mar-24,42381,51,831,Bad,0.12033694344163659
Kothrud,Municipal Waste Management Department,Apr-24,12468,6,2078,Good,0.04812319538017325
Kothrud,Municipal Waste Management Department,May-24,92738,89,1042,Bad,0.09596928982725528
Kothrud,Municipal Waste Management Department,Jun-24,123486,66,1871,Bad,0.053447354355959376
Kothrud,Municipal Waste Management Department,Jul-24,161786,82,1973,Bad,0.05068423720223011
Kothrud,Municipal Waste Management Department,Aug-24,13700,20,685,Good,0.145985401459854
Kothrud,Municipal Waste Management Department,Sep-24,90528,82,1104,Bad,0.09057971014492754
Kothrud,Municipal Waste Management Department,Oct-24,264592,92,2876,Bad,0.03477051460361613
Kothrud,Municipal Waste Management Department,Nov-24,238572,94,2538,Bad,0.039401103230890466
Kothrud,Municipal Waste Management Department,Dec-24,78058,62,1259,Bad,0.07942811755361398
Kothrud,Water Supply and Sanitation Department,Jan-24,34450,53,650,Bad,0.15384615384615385
Kothrud,Water Supply and Sanitation Department,Feb-24,183744,87,2112,Bad,0.04734848484848485
Kothrud,Water Supply and Sanitation Department,Mar-24,42300,15,2820,Good,0.03546099290780142
Kothrud,Water Supply and Sanitation Department,Apr-24,79616,32,2488,Good,0.04019292604501608
Kothrud,Water Supply and Sanitation Department,May-24,40052,19,2108,Good,0.04743833017077799
Kothrud,Water Supply and Sanitation Department,Jun-24,83898,59,1422,Bad,0.07032348804500703
Kothrud,Water Supply and Sanitation Department,Jul-24,183951,81,2271,Bad,0.044033465433729636
Kothrud,Water Supply and Sanitation Department,Aug-24,175020,60,2917,Bad,0.03428179636612959
Kothrud,Water Supply and Sanitation Department,Sep-24,100856,56,1801,Bad,0.055524708495280406
Kothrud,Water Supply and Sanitation Department,Oct-24,32160,48,670,Good,0.1492537313432836
Kothrud,Water Supply and Sanitation Department,Nov-24,95292,36,2647,Good,0.037778617302606725
Kothrud,Water Supply and Sanitation Department,Dec-24,28578,33,866,Good,0.11547344110854503
Kothrud,Electricity Distribution Department,Jan-24,73880,40,1847,Good,0.05414185165132648
Kothrud,Electricity Distribution Department,Feb-24,77280,92,840,Bad,0.11904761904761905
Kothrud,Electricity Distribution Department,Mar-24,107848,52,2074,Bad,0.048216007714561235
Kothrud,Electricity Distribution Department,Apr-24,108528,56,1938,Bad,0.05159958720330237
Kothrud,Electricity Distribution Department,May-24,27040,26,1040,Good,0.09615384615384616
Kothrud,Electricity Distribution Department,Jun-24,95715,45,2127,Good,0.04701457451810061
Kothrud,Electricity Distribution Department,Jul-24,87750,78,1125,Bad,0.08888888888888889
Kothrud,Electricity Distribution Department,Aug-24,155561,71,2191,Bad,0.045641259698767686
Kothrud,Electricity Distribution Department,Sep-24,43731,43,1017,Good,0.09832841691248771
Kothrud,Electricity Distribution Department,Oct-24,93500,50,1870,Bad,0.053475935828877004
Kothrud,Electricity Distribution Department,Nov-24,59625,45,1325,Good,0.07547169811320754
Kothrud,Electricity Distribution Department,Dec-24,143150,70,2045,Bad,0.04889975550122249
Kothrud,Public Works Department,Jan-24,71630,65,1102,Bad,0.09074410163339383
Kothrud,Public Works Department,Feb-24,103806,73,1422,Bad,0.07032348804500703
Kothrud,Public Works Department,Mar-24,28272,16,1767,Good,0.056593095642331635
Kothrud,Public Works Department,Apr-24,118487,47,2521,Good,0.039666798889329634
Kothrud,Public Works Department,May-24,54740,23,2380,Good,0.04201680672268908
Kothrud,Public Works Department,Jun-24,20325,15,1355,Good,0.07380073800738007
Kothrud,Public Works Department,Jul-24,33984,16,2124,Good,0.047080979284369114
Kothrud,Public Works Department,Aug-24,24435,45,543,Good,0.1841620626151013
Kothrud,Public Works Department,Sep-24,173320,70,2476,Bad,0.04038772213247173
Kothrud,Public Works Department,Oct-24,34762,26,1337,Good,0.07479431563201197
Kothrud,Public Works Department,Nov-24,32496,16,2031,Good,0.04923682914820286
Kothrud,Public Works Department,Dec-24,180246,66,2731,Bad,0.03661662394727206
Kothrud,Environmental Protection Department,Jan-24,117176,97,1208,Bad,0.08278145695364239
Kothrud,Environmental Protection Department,Feb-24,240963,93,2591,Bad,0.0385951370127364
Kothrud,Environmental Protection Department,Mar-24,56007,21,2667,Good,0.03749531308586427
Kothrud,Environmental Protection Department,Apr-24,116832,96,1217,Bad,0.08216926869350863
Kothrud,Environmental Protection Department,May-24,55748,44,1267,Good,0.07892659826361484
Kothrud,Environmental Protection Department,Jun-24,77841,93,837,Bad,0.11947431302270012
Kothrud,Environmental Protection Department,Jul-24,199995,67,2985,Bad,0.03350083752093803
Kothrud,Environmental Protection Department,Aug-24,71460,45,1588,Good,0.06297229219143577
Kothrud,Environmental Protection Department,Sep-24,16680,20,834,Good,0.1199040767386091
Kothrud,Environmental Protection Department,Oct-24,108570,66,1645,Bad,0.060790273556231005
Kothrud,Environmental Protection Department,Nov-24,162652,74,2198,Bad,0.04549590536851684
Kothrud,Environmental Protection Department,Dec-24,140200,100,1402,Bad,0.07132667617689016
Kothrud,Traffic and Transportation Department,Jan-24,20471,11,1861,Good,0.05373455131649651
Kothrud,Traffic and Transportation Department,Feb-24,9256,8,1157,Good,0.08643042350907519
Kothrud,Traffic and Transportation Department,Mar-24,224688,93,2416,Bad,0.041390728476821195
Kothrud,Traffic and Transportation Department,Apr-24,95184,48,1983,Good,0.05042864346949068
Kothrud,Traffic and Transportation Department,May-24,33464,47,712,Good,0.1404494382022472
Kothrud,Traffic and Transportation Department,Jun-24,132000,88,1500,Bad,0.06666666666666667
Kothrud,Traffic and Transportation Department,Jul-24,107200,100,1072,Bad,0.09328358208955223
Kothrud,Traffic and Transportation Department,Aug-24,126378,59,2142,Bad,0.04668534080298786
Kothrud,Traffic and Transportation Department,Sep-24,65047,29,2243,Good,0.04458314757021846
Kothrud,Traffic and Transportation Department,Oct-24,35684,44,811,Good,0.12330456226880394
Kothrud,Traffic and Transportation Department,Nov-24,16990,10,1699,Good,0.05885815185403178
Kothrud,Traffic and Transportation Department,Dec-24,94962,38,2499,Good,0.040016006402561026
Kothrud,Environmental Protection Department,Jan-24,256714,94,2731,Bad,0.03661662394727206
Kothrud,Environmental Protection Department,Feb-24,62370,35,1782,Good,0.05611672278338946
Kothrud,Environmental Protection Department,Mar-24,98480,40,2462,Good,0.04061738424045491
Kothrud,Environmental Protection Department,Apr-24,11205,5,2241,Good,0.04462293618920125
Kothrud,Environmental Protection Department,May-24,28275,29,975,Good,0.10256410256410256
Kothrud,Environmental Protection Department,Jun-24,20995,19,1105,Good,0.09049773755656108
Kothrud,Environmental Protection Department,Jul-24,85376,46,1856,Good,0.05387931034482758
Kothrud,Environmental Protection Department,Aug-24,97556,58,1682,Bad,0.05945303210463733
Kothrud,Environmental Protection Department,Sep-24,20664,7,2952,Good,0.03387533875338753
Kothrud,Environmental Protection Department,Oct-24,30159,27,1117,Good,0.08952551477170993
Kothrud,Environmental Protection Department,Nov-24,120120,52,2310,Bad,0.04329004329004329
Kothrud,Environmental Protection Department,Dec-24,110580,38,2910,Good,0.03436426116838488
Kothrud,Urban Forestry and Landscaping Department,Jan-24,65520,30,2184,Good,0.045787545787545784
Kothrud,Urban Forestry and Landscaping Department,Feb-24,86486,83,1042,Bad,0.09596928982725528
Kothrud,Urban Forestry and Landscaping Department,Mar-24,56060,20,2803,Good,0.03567606136282554
Kothrud,Urban Forestry and Landscaping Department,Apr-24,140030,67,2090,Bad,0.04784688995215311
Kothrud,Urban Forestry and Landscaping Department,May-24,21035,35,601,Good,0.16638935108153077
Kothrud,Urban Forestry and Landscaping Department,Jun-24,142228,74,1922,Bad,0.052029136316337155
Kothrud,Urban Forestry and Landscaping Department,Jul-24,135954,83,1638,Bad,0.06105006105006105
Kothrud,Urban Forestry and Landscaping Department,Aug-24,124700,50,2494,Bad,0.040096230954290296
Kothrud,Urban Forestry and Landscaping Department,Sep-24,77184,96,804,Bad,0.12437810945273632
Kothrud,Urban Forestry and Landscaping Department,Oct-24,212510,79,2690,Bad,0.03717472118959108
Kothrud,Urban Forestry and Landscaping Department,Nov-24,22593,17,1329,Good,0.07524454477050413
Kothrud,Urban Forestry and Landscaping Department,Dec-24,65780,92,715,Bad,0.13986013986013987
Kothrud,Animal Control and Welfare Department,Jan-24,41839,43,973,Good,0.10277492291880781
Kothrud,Animal Control and Welfare Department,Feb-24,171166,61,2806,Bad,0.03563791874554526
Kothrud,Animal Control and Welfare Department,Mar-24,44104,37,1192,Good,0.08389261744966443
Kothrud,Animal Control and Welfare Department,Apr-24,111075,75,1481,Bad,0.0675219446320054
Kothrud,Animal Control and Welfare Department,May-24,97948,94,1042,Bad,0.09596928982725528
Kothrud,Animal Control and Welfare Department,Jun-24,163954,98,1673,Bad,0.059772863120143446
Kothrud,Animal Control and Welfare Department,Jul-24,187210,97,1930,Bad,0.05181347150259067
Kothrud,Animal Control and Welfare Department,Aug-24,67137,23,2919,Good,0.0342583076396026
Kothrud,Animal Control and Welfare Department,Sep-24,28938,39,742,Good,0.13477088948787064
Kothrud,Animal Control and Welfare Department,Oct-24,186190,86,2165,Bad,0.046189376443418015
Kothrud,Animal Control and Welfare Department,Nov-24,12740,20,637,Good,0.15698587127158556
Kothrud,Animal Control and Welfare Department,Dec-24,145873,91,1603,Bad,0.06238303181534623
Kothrud,Sewerage and Drainage Department,Jan-24,176222,73,2414,Bad,0.041425020712510356
Kothrud,Sewerage and Drainage Department,Feb-24,79326,54,1469,Bad,0.06807351940095302
Kothrud,Sewerage and Drainage Department,Mar-24,125580,60,2093,Bad,0.047778308647873864
Kothrud,Sewerage and Drainage Department,Apr-24,17100,10,1710,Good,0.058479532163742694
Kothrud,Sewerage and Drainage Department,May-24,157284,68,2313,Bad,0.043233895373973194
Kothrud,Sewerage and Drainage Department,Jun-24,120704,41,2944,Good,0.033967391304347824
Kothrud,Sewerage and Drainage Department,Jul-24,97092,54,1798,Bad,0.05561735261401557
Kothrud,Sewerage and Drainage Department,Aug-24,9120,12,760,Good,0.13157894736842105
Kothrud,Sewerage and Drainage Department,Sep-24,17916,6,2986,Good,0.03348961821835231
Kothrud,Sewerage and Drainage Department,Oct-24,27720,24,1155,Good,0.08658008658008658
Kothrud,Sewerage and Drainage Department,Nov-24,38338,29,1322,Good,0.07564296520423601
Kothrud,Sewerage and Drainage Department,Dec-24,107801,43,2507,Good,0.03988831272437176
Viman Nagar,Municipal Waste Management Department,Jan-24,200836,74,2714,Bad,0.036845983787767135
Viman Nagar,Municipal Waste Management Department,Feb-24,60926,82,743,Bad,0.13458950201884254
Viman Nagar,Municipal Waste Management Department,Mar-24,144235,65,2219,Bad,0.04506534474988734
Viman Nagar,Municipal Waste Management Department,Apr-24,98936,83,1192,Bad,0.08389261744966443
Viman Nagar,Municipal Waste Management Department,May-24,157890,57,2770,Bad,0.036101083032490974
Viman Nagar,Municipal Waste Management Department,Jun-24,149430,85,1758,Bad,0.05688282138794084
Viman Nagar,Municipal Waste Management Department,Jul-24,155077,79,1963,Bad,0.05094243504839531
Viman Nagar,Municipal Waste Management Department,Aug-24,109917,69,1593,Bad,0.06277463904582549
Viman Nagar,Municipal Waste Management Department,Sep-24,18718,7,2674,Good,0.037397157816005985
Viman Nagar,Municipal Waste Management Department,Oct-24,64512,32,2016,Good,0.0496031746031746
Viman Nagar,Municipal Waste Management Department,Nov-24,136515,95,1437,Bad,0.06958942240779402
Viman Nagar,Municipal Waste Management Department,Dec-24,172480,88,1960,Bad,0.05102040816326531
Viman Nagar,Water Supply and Sanitation Department,Jan-24,45752,28,1634,Good,0.06119951040391676
Viman Nagar,Water Supply and Sanitation Department,Feb-24,25104,12,2092,Good,0.04780114722753346
Viman Nagar,Water Supply and Sanitation Department,Mar-24,11514,6,1919,Good,0.05211047420531526
Viman Nagar,Water Supply and Sanitation Department,Apr-24,57684,46,1254,Good,0.07974481658692185
Viman Nagar,Water Supply and Sanitation Department,May-24,97396,52,1873,Bad,0.05339028296849973
Viman Nagar,Water Supply and Sanitation Department,Jun-24,19257,21,917,Good,0.10905125408942204
Viman Nagar,Water Supply and Sanitation Department,Jul-24,96807,69,1403,Bad,0.07127583749109052
Viman Nagar,Water Supply and Sanitation Department,Aug-24,123072,96,1282,Bad,0.078003120124805
Viman Nagar,Water Supply and Sanitation Department,Sep-24,123037,61,2017,Bad,0.04957858205255329
Viman Nagar,Water Supply and Sanitation Department,Oct-24,52122,34,1533,Good,0.06523157208088715
Viman Nagar,Water Supply and Sanitation Department,Nov-24,133650,81,1650,Bad,0.06060606060606061
Viman Nagar,Water Supply and Sanitation Department,Dec-24,50544,52,972,Bad,0.102880658436214
Viman Nagar,Electricity Distribution Department,Jan-24,21126,14,1509,Good,0.06626905235255136
Viman Nagar,Electricity Distribution Department,Feb-24,21372,13,1644,Good,0.06082725060827251
Viman Nagar,Electricity Distribution Department,Mar-24,135680,53,2560,Bad,0.0390625
Viman Nagar,Electricity Distribution Department,Apr-24,198531,81,2451,Bad,0.04079967360261118
Viman Nagar,Electricity Distribution Department,May-24,115200,80,1440,Bad,0.06944444444444445
Viman Nagar,Electricity Distribution Department,Jun-24,93912,91,1032,Bad,0.09689922480620156
Viman Nagar,Electricity Distribution Department,Jul-24,7833,7,1119,Good,0.08936550491510277
Viman Nagar,Electricity Distribution Department,Aug-24,109417,77,1421,Bad,0.07037297677691766
Viman Nagar,Electricity Distribution Department,Sep-24,23080,10,2308,Good,0.04332755632582322
Viman Nagar,Electricity Distribution Department,Oct-24,35360,13,2720,Good,0.03676470588235294
Viman Nagar,Electricity Distribution Department,Nov-24,11056,8,1382,Good,0.0723589001447178
Viman Nagar,Electricity Distribution Department,Dec-24,11326,14,809,Good,0.12360939431396785
Viman Nagar,Public Works Department,Jan-24,63124,43,1468,Good,0.06811989100817438
Viman Nagar,Public Works Department,Feb-24,23193,9,2577,Good,0.038804811796662786
Viman Nagar,Public Works Department,Mar-24,152448,64,2382,Bad,0.041981528127623846
Viman Nagar,Public Works Department,Apr-24,127581,43,2967,Good,0.03370407819346141
Viman Nagar,Public Works Department,May-24,225302,77,2926,Bad,0.03417634996582365
Viman Nagar,Public Works Department,Jun-24,78982,46,1717,Good,0.05824111822947001
Viman Nagar,Public Works Department,Jul-24,90240,60,1504,Bad,0.06648936170212766
Viman Nagar,Public Works Department,Aug-24,162486,59,2754,Bad,0.03631082062454612
Viman Nagar,Public Works Department,Sep-24,191496,79,2424,Bad,0.041254125412541254
Viman Nagar,Public Works Department,Oct-24,260850,94,2775,Bad,0.036036036036036036
Viman Nagar,Public Works Department,Nov-24,41040,38,1080,Good,0.0925925925925926
Viman Nagar,Public Works Department,Dec-24,57525,39,1475,Good,0.06779661016949153
Viman Nagar,Environmental Protection Department,Jan-24,19836,29,684,Good,0.14619883040935672
Viman Nagar,Environmental Protection Department,Feb-24,121044,44,2751,Good,0.03635041802980734
Viman Nagar,Environmental Protection Department,Mar-24,100419,51,1969,Bad,0.050787201625190445
Viman Nagar,Environmental Protection Department,Apr-24,31486,13,2422,Good,0.041288191577208914
Viman Nagar,Environmental Protection Department,May-24,118728,72,1649,Bad,0.06064281382656155
Viman Nagar,Environmental Protection Department,Jun-24,248292,99,2508,Bad,0.03987240829346093
Viman Nagar,Environmental Protection Department,Jul-24,103194,91,1134,Bad,0.08818342151675485
Viman Nagar,Environmental Protection Department,Aug-24,119217,49,2433,Good,0.04110152075626798
Viman Nagar,Environmental Protection Department,Sep-24,9135,5,1827,Good,0.05473453749315819
Viman Nagar,Environmental Protection Department,Oct-24,162396,78,2082,Bad,0.04803073967339097
Viman Nagar,Environmental Protection Department,Nov-24,261072,98,2664,Bad,0.03753753753753754
Viman Nagar,Environmental Protection Department,Dec-24,92120,49,1880,Good,0.05319148936170213
Viman Nagar,Traffic and Transportation Department,Jan-24,128619,93,1383,Bad,0.07230657989877079
Viman Nagar,Traffic and Transportation Department,Feb-24,14658,14,1047,Good,0.09551098376313276
Viman Nagar,Traffic and Transportation Department,Mar-24,154456,86,1796,Bad,0.05567928730512249
Viman Nagar,Traffic and Transportation Department,Apr-24,26460,9,2940,Good,0.03401360544217687
Viman Nagar,Traffic and Transportation Department,May-24,21264,8,2658,Good,0.037622272385252065
Viman Nagar,Traffic and Transportation Department,Jun-24,106848,56,1908,Bad,0.052410901467505246
Viman Nagar,Traffic and Transportation Department,Jul-24,61568,26,2368,Good,0.04222972972972973
Viman Nagar,Traffic and Transportation Department,Aug-24,114798,57,2014,Bad,0.04965243296921549
Viman Nagar,Traffic and Transportation Department,Sep-24,33489,61,549,Bad,0.18214936247723132
Viman Nagar,Traffic and Transportation Department,Oct-24,142464,56,2544,Bad,0.039308176100628936
Viman Nagar,Traffic and Transportation Department,Nov-24,11760,7,1680,Good,0.05952380952380953
Viman Nagar,Traffic and Transportation Department,Dec-24,11934,17,702,Good,0.14245014245014245
